EMA_short,EMA_long,Total_Trades,Profit_Trades,Loss_Trades,Net_Profit
25,56,56,23,33,1770479.199
23,57,56,23,33,1764439.799
24,55,60,24,36,1760580.031
23,59,56,22,34,1759619.046
19,58,62,24,38,1759169.336
26,55,56,23,33,1750019.236
21,49,64,30,34,1744499.708
26,54,56,23,33,1743449.073
18,59,66,26,40,1742050.096
17,61,66,27,39,1741299.805
23,58,58,24,34,1735049.564
20,52,66,29,37,1728780.176
24,57,56,22,34,1728229.249
24,56,56,24,32,1726039.6
22,59,58,23,35,1725859.525
21,61,58,23,35,1721619.486
25,54,58,23,35,1720869.678
25,53,60,25,35,1718019.973
17,67,60,22,38,1716510.108
22,47,64,30,34,1714489.551
18,57,66,28,38,1713459.865
22,60,56,23,33,1711899.564
20,50,64,31,33,1711570.02
11,88,62,23,39,1707723.63
17,62,66,25,41,1706069.142
27,53,56,23,33,1705078.856
19,53,70,31,39,1705059.864
19,57,64,26,38,1704790.038
17,59,66,28,38,1704609.962
18,64,64,22,42,1700319.873
17,60,66,27,39,1697170.022
18,61,66,24,42,1694589.355
21,56,60,22,38,1694559.767
17,63,64,25,39,1694269.337
22,61,58,24,34,1693439.554
22,48,64,29,35,1692949.902
28,50,58,23,35,1692329.248
17,66,64,22,42,1690960.401
10,89,70,24,46,1690444.237
10,90,68,24,44,1687134.178
19,54,66,30,36,1686960.158
20,68,58,22,36,1686829.981
21,50,66,29,37,1684300.292
18,62,66,24,42,1684169.336
10,91,66,24,42,1683714.11
27,52,56,23,33,1682178.858
20,53,66,28,38,1681470.408
17,58,68,29,39,1680410.06
17,64,66,24,42,1678919.532
18,60,64,24,40,1677789.257
20,51,70,30,40,1677209.962
21,65,58,23,35,1676499.904
19,56,64,26,38,1675590.134
18,58,68,27,41,1675379.883
19,52,68,31,37,1674089.845
21,66,54,22,32,1673149.806
11,87,64,23,41,1672843.554
23,62,54,23,31,1672729.395
25,55,56,22,34,1671979.444
31,49,54,21,33,1669979.298
23,50,64,26,38,1667209.864
18,63,66,23,43,1667079.688
21,63,58,23,35,1665609.281
20,54,66,28,38,1665540.233
26,53,58,23,35,1664989.111
16,68,68,24,44,1663669.872
16,69,62,22,40,1660190.184
16,62,70,28,42,1659719.531
21,53,64,26,38,1659139.55
22,54,60,21,39,1655509.377
19,55,66,28,38,1654410.252
16,63,68,28,40,1653029.493
27,51,58,23,35,1650629.443
22,52,62,24,38,1650539.843
21,64,60,23,37,1648679.788
29,50,56,22,34,1648189.306
28,51,56,23,33,1647748.68
18,55,72,31,41,1646509.768
18,56,68,30,38,1645269.827
23,60,56,22,34,1644329.396
22,51,66,27,39,1644069.825
24,58,56,22,34,1643289.063
16,61,70,28,42,1641119.726
20,65,60,23,37,1640949.027
20,57,60,24,36,1640799.414
24,52,62,22,40,1640489.944
22,63,56,22,34,1639509.572
21,54,62,25,37,1639499.609
26,51,60,25,35,1636939.602
19,62,64,23,41,1636699.366
21,48,64,30,34,1636469.824
22,58,60,23,37,1635929.741
26,52,58,23,35,1634869.777
21,52,66,28,38,1634330.175
22,49,64,28,36,1633989.843
15,71,66,24,42,1633099.754
14,73,66,24,42,1632959.715
20,55,64,26,38,1632139.55
21,62,58,23,35,1631079.447
24,54,60,23,37,1630910.012
22,55,64,21,43,1630809.38
23,53,62,21,41,1629819.634
20,67,58,23,35,1628110.451
17,65,66,23,43,1628009.961
20,63,58,22,36,1627289.408
19,59,62,24,38,1626228.711
22,53,62,23,39,1625379.591
32,48,56,21,35,1624899.317
10,88,72,24,48,1624804.59
23,63,54,22,32,1624609.277
19,67,60,22,38,1623159.573
12,79,70,24,46,1621804.635
25,57,56,23,33,1621039.353
16,60,72,29,43,1621009.57
23,56,62,23,39,1620819.975
8,97,72,25,47,1618813.725
28,52,58,23,35,1615749.022
20,58,64,22,42,1614829.493
23,52,62,22,40,1614709.377
24,59,58,23,35,1614569.236
22,64,54,22,32,1614419.533
29,52,54,21,33,1614099.22
17,57,72,31,41,1613309.865
22,62,58,22,36,1612878.909
8,95,72,25,47,1612364.359
19,70,58,22,36,1608830.274
8,96,72,25,47,1608633.891
20,49,66,31,35,1606109.767
24,60,54,23,31,1605579.198
35,45,54,21,33,1604339.455
18,66,58,22,36,1601180.031
21,67,56,22,34,1600629.738
21,57,66,21,45,1600289.457
10,87,74,24,50,1600074.707
22,50,66,27,39,1599790.038
30,51,54,21,33,1599179.298
12,27,114,45,69,1598788.965
32,41,62,24,38,1598469.729
32,49,54,21,33,1597179.493
10,92,66,24,42,1596664.011
20,56,62,25,37,1595679.394
17,68,60,22,38,1595540.283
19,61,64,22,42,1595039.357
10,93,66,24,42,1594018.991
16,65,68,25,43,1592759.472
21,51,66,28,38,1590920.116
20,59,64,22,42,1590529.688
24,49,64,25,39,1589719.437
33,40,62,24,38,1589499.906
23,46,62,29,33,1589159.668
33,47,56,21,35,1588949.416
9,29,142,51,91,1587479.196
14,66,72,28,44,1586089.256
13,78,68,23,45,1586054.636
12,80,72,23,49,1585689.596
31,50,56,21,35,1585289.454
13,76,68,23,45,1585189.889
20,66,60,23,37,1583349.905
20,60,64,21,43,1582929.057
16,59,74,31,43,1582769.925
19,51,68,31,37,1582069.924
18,65,62,22,40,1581719.678
12,85,62,22,40,1581213.866
13,77,68,23,45,1580394.577
13,83,62,22,40,1580373.826
33,48,54,21,33,1580349.415
19,60,66,23,43,1577079.005
21,55,62,22,40,1576709.669
18,54,70,31,39,1576389.653
30,48,58,21,37,1575918.993
13,75,72,23,49,1573959.909
16,64,70,25,45,1572689.453
19,69,60,21,39,1572450.783
23,48,64,27,37,1569369.531
19,64,58,22,36,1568719.585
15,70,70,24,46,1567709.423
38,42,52,20,32,1566439.259
20,64,58,22,36,1565599.515
11,84,70,24,46,1565089.451
25,51,62,23,39,1564989.554
17,36,92,37,55,1564930.173
34,46,54,21,33,1564799.415
10,23,146,55,91,1564649.605
37,43,52,20,32,1564499.22
18,71,64,21,43,1563821.095
31,42,62,23,39,1563699.71
15,66,68,26,42,1562729.785
23,51,62,23,39,1562589.455
36,44,54,20,34,1562419.338
22,65,54,21,33,1560809.424
22,41,74,31,43,1560760.157
10,28,130,50,80,1560029.538
12,88,60,21,39,1559533.935
22,46,68,31,37,1559359.863
39,41,52,20,32,1557829.199
27,54,58,22,36,1557789.061
23,61,58,22,36,1557489.65
28,53,58,22,36,1556699.218
30,50,56,21,35,1556179.492
17,74,64,21,43,1554566.016
9,93,70,25,45,1553604.3
12,84,64,23,41,1553583.494
16,71,64,22,42,1553200.243
35,44,56,21,35,1553179.395
24,61,56,21,35,1552599.412
15,63,72,28,44,1548799.217
9,28,146,53,93,1548778.903
14,68,68,25,43,1547269.629
21,60,58,22,36,1547179.643
20,62,58,22,36,1547019.39
30,49,58,21,37,1546539.209
30,47,58,21,37,1545109.227
31,43,62,25,37,1545049.612
11,28,122,47,75,1544529.053
34,39,62,24,38,1543710.061
27,55,56,22,34,1543509.374
11,89,62,23,39,1542913.816
14,67,68,26,42,1542659.473
30,43,62,23,39,1542289.456
29,48,58,22,36,1542269.287
15,73,66,23,43,1541570.067
13,84,62,22,40,1540554.147
11,83,70,24,46,1539959.619
15,64,68,28,40,1538798.926
29,46,62,26,36,1538759.67
11,90,62,22,40,1538403.856
23,49,66,27,39,1537789.453
29,51,58,21,37,1537559.179
11,86,64,23,41,1537053.905
19,63,62,22,40,1536209.134
16,67,68,24,44,1536190.038
29,49,58,21,37,1535999.266
18,70,64,21,43,1535930.665
26,58,54,21,33,1535269.725
35,41,56,21,35,1535268.993
36,40,56,21,35,1535268.993
37,39,56,21,35,1535268.993
15,72,64,24,40,1534779.734
28,49,58,23,35,1533769.484
12,86,62,22,40,1531934.032
18,51,70,32,38,1530009.769
31,46,58,21,37,1529769.188
19,68,60,21,39,1529460.451
22,57,64,22,42,1529300.053
9,94,72,25,47,1527984.233
36,43,56,21,35,1527889.357
32,45,58,21,37,1527789.11
27,49,62,24,38,1527649.807
21,58,66,21,45,1527479.546
13,22,134,55,79,1527088.087
24,50,62,23,39,1526799.026
13,81,66,22,44,1526728.806
19,71,60,23,37,1526700.343
23,54,66,22,44,1526420.024
33,43,56,20,36,1526299.071
34,42,56,20,36,1526299.071
28,46,62,23,39,1525909.573
9,90,74,25,49,1525864.749
19,50,70,32,38,1525219.729
23,47,64,27,37,1524739.648
25,50,64,22,42,1524549.515
35,38,62,24,38,1524179.983
25,46,62,28,34,1523999.61
16,66,68,24,44,1523549.804
31,47,60,21,39,1523459.131
21,59,64,22,42,1521429.741
9,95,72,25,47,1521043.801
13,79,68,23,45,1520964.548
39,40,54,21,33,1520849.416
29,44,62,22,40,1520239.554
8,99,72,23,49,1520048.978
25,52,66,24,42,1519939.602
14,72,70,24,46,1518369.579
20,48,70,32,38,1517919.338
11,24,140,53,87,1517258.836
21,47,70,32,38,1516579.593
14,74,68,24,44,1516339.793
11,85,70,24,46,1515894.139
15,23,116,44,72,1515713.867
16,70,64,22,42,1513440.086
36,37,62,24,38,1513240.139
34,45,54,21,33,1513039.161
14,65,72,29,43,1512819.141
10,94,64,22,42,1511744.088
38,41,54,21,33,1511429.494
12,83,66,23,43,1511323.826
25,37,72,31,41,1509979.591
21,30,88,36,52,1509479.589
34,43,60,21,39,1509479.052
35,42,60,21,39,1509479.052
13,26,112,44,68,1508949.511
20,69,58,22,36,1508769.679
9,26,144,52,92,1508639.79
8,98,74,23,51,1508509.134
19,33,90,36,54,1508279.783
28,42,62,27,35,1508279.296
19,65,58,22,36,1507049.953
