Price,Close,High,Low,Open,Volume,EMA20,EMA50
Ticker,ABCAPITAL.NS,ABCAPITAL.NS,ABCAPITAL.NS,ABCAPITAL.NS,ABCAPITAL.NS,,
Date,,,,,,,
2017-09-01,237.5,255.0,237.5,250.0,4658997,237.5,237.5
2017-09-04,225.64999389648438,225.64999389648438,225.64999389648438,225.64999389648438,309923,236.37142799014137,237.03529387829352
2017-09-05,214.39999389648438,214.39999389648438,214.39999389648438,214.39999389648438,192377,234.27891045741214,236.14763505547748
2017-09-06,203.6999969482422,203.6999969482422,203.6999969482422,203.6999969482422,267160,231.36663298034833,234.8751786591153
2017-09-07,206.9499969482422,213.85000610351562,193.5500030517578,193.5500030517578,34241770,229.0412390725287,233.78007349398302
2017-09-08,201.25,205.10000610351562,198.39999389648438,201.0,5412431,226.39445439895454,232.50438433735627
2017-09-11,193.85000610351562,204.6999969482422,192.39999389648438,202.89999389648438,5588615,223.29498313272228,230.98852636740176
2017-09-12,187.0500030517578,198.0,184.4499969482422,195.0,36566461,219.84308026786852,229.26544702169025
2017-09-13,196.39999389648438,196.39999389648438,192.6999969482422,194.6999969482422,4592680,217.61040537535575,227.97660572266258
2017-09-14,206.1999969482422,206.1999969482422,201.39999389648438,205.89999389648438,6454750,216.52369981086875,227.12262106484218
2017-09-15,203.25,211.5500030517578,202.25,209.5,19039812,215.25953792411934,226.18643984661307
2017-09-18,199.9499969482422,206.4499969482422,199.0500030517578,206.4499969482422,6389800,213.80148640260722,225.15755973295148
2017-09-19,198.64999389648438,203.89999389648438,197.6999969482422,200.0,4287615,212.3584871163098,224.1180473472077
2017-09-20,195.39999389648438,200.1999969482422,195.0,199.0,2925035,210.74339252394546,222.99184917266953
2017-09-21,195.4499969482422,197.5,190.60000610351562,196.1999969482422,3559653,209.28687865959276,221.91177653641748
2017-09-22,190.25,198.75,189.0500030517578,193.25,5176182,207.4738425967744,220.6701382408717
2017-09-25,188.25,191.5,183.60000610351562,190.0,3928855,205.64300044470065,219.39876027064142
2017-09-26,189.5500030517578,193.3000030517578,188.5,190.25,3647262,204.11033402632512,218.22822077186166
2017-09-27,180.4499969482422,191.0,180.0,191.0,4276411,201.85696859031725,216.74672179838637
2017-09-28,175.89999389648438,182.5,173.5,181.89999389648438,6803935,199.38487576233317,215.14488933164512
2017-09-29,183.75,190.89999389648438,177.4499969482422,177.64999389648438,4999893,197.8958399754443,213.91371720099238
2017-10-03,184.35000610351562,187.0,182.64999389648438,186.6999969482422,1759816,196.60576055907012,212.75435598148349
2017-10-04,185.14999389648438,189.0,184.0,184.8000030517578,2034157,195.51473516263337,211.6718319781502
2017-10-05,181.14999389648438,186.0,180.25,185.0,2710481,194.14666456585726,210.47489715141822
2017-10-06,180.60000610351562,182.9499969482422,180.25,182.3000030517578,2760329,192.85650661706285,209.3033327965985
2017-10-09,179.89999389648438,182.89999389648438,179.5,181.5,2038990,191.6225530246268,208.15026068286855
2017-10-10,180.25,184.39999389648438,179.3000030517578,180.0,5116910,190.53945273656709,207.05613281295214
2017-10-11,178.6999969482422,183.10000610351562,178.10000610351562,182.0,3896403,189.41188551863138,205.9441274849243
2017-10-12,178.10000610351562,180.8000030517578,178.0,180.0500030517578,1867823,188.33456366957276,204.85220115624162
2017-10-13,183.25,187.75,179.1999969482422,180.0,9303982,187.85031951056584,204.0050560128596
2017-10-16,180.8000030517578,188.0,180.0500030517578,184.85000610351562,4999594,187.17886080020318,203.09505393595364
2017-10-17,182.0500030517578,184.6999969482422,181.14999389648438,181.6999969482422,4001669,186.69039815749412,202.26975782284794
2017-10-18,179.9499969482422,182.89999389648438,179.5,182.35000610351562,3401693,186.0484551851844,201.39447308266733
2017-10-19,183.5,184.4499969482422,180.89999389648438,181.0,2362093,185.8057451675478,200.6927290402098
2017-10-23,179.85000610351562,185.25,179.60000610351562,184.85000610351562,3370600,185.23853192335426,199.87536735641788
2017-10-24,180.3000030517578,182.64999389648438,179.85000610351562,180.75,2694052,184.76819584034507,199.1077060111371
2017-10-25,175.89999389648438,182.60000610351562,173.6999969482422,181.8000030517578,5183142,183.923605179025,198.19759965369974
2017-10-26,174.4499969482422,178.89999389648438,174.0,176.5500030517578,3455465,183.0213567760933,197.26632111623084
2017-10-27,174.89999389648438,176.85000610351562,174.5,175.39999389648438,2618383,182.24789364470197,196.38921024486825
2017-10-30,178.8000030517578,181.5,175.8000030517578,175.8000030517578,4085826,181.91952311204062,195.6994374137659
2017-10-31,177.89999389648438,179.75,177.5500030517578,179.75,1587498,181.53671080579716,195.00142002093136
2017-11-01,178.14999389648438,183.60000610351562,177.3000030517578,178.5500030517578,4175241,181.21416633824356,194.34057978075697
2017-11-02,186.89999389648438,191.4499969482422,178.5,179.0500030517578,15438592,181.75567372474268,194.0487920990208
2017-11-03,193.3000030517578,194.75,187.0,188.89999389648438,9083391,182.85513366064887,194.01942782265755
2017-11-06,207.1999969482422,210.0,194.5,194.60000610351562,20016574,185.1736920689911,194.53631288640597
2017-11-07,202.5500030517578,213.8000030517578,198.0,209.75,16877244,186.82857882925458,194.85057524583152
2017-11-08,196.10000610351562,205.0,195.10000610351562,203.0,8367167,187.7115719029937,194.89957253436816
2017-11-09,199.5,201.75,196.25,197.5,4612496,188.83427934080385,195.07998145458902
2017-11-10,194.85000610351562,199.89999389648438,193.5,199.5,3865941,189.40720569915737,195.07096281337047
2017-11-13,194.0,198.14999389648438,193.25,195.6999969482422,2981764,189.84461468019,195.02896427166965
2017-11-14,190.14999389648438,194.89999389648438,189.5500030517578,194.5,3777259,189.87369841507518,194.83763210009377
2017-11-15,189.25,194.0,187.3000030517578,190.0,4203443,189.8142985660204,194.61850927263913
2017-11-16,198.89999389648438,199.60000610351562,190.0,190.5,6098738,190.67960288320745,194.786410630437
2017-11-17,198.1999969482422,202.89999389648438,197.10000610351562,201.89999389648438,4351915,191.39583088940122,194.92027676054698
2017-11-20,204.0500030517578,205.0,198.0500030517578,198.5,6421487,192.600990142959,195.27830524255523
2017-11-21,205.0,208.8000030517578,202.0,205.0,6641932,193.78184822458195,195.65954817421974
2017-11-22,201.75,205.75,200.5,205.75,3738514,194.54071982224082,195.89838942228954
2017-11-23,202.14999389648438,205.60000610351562,200.5500030517578,202.3000030517578,3487521,195.2654125912164,196.14355038206187
2017-11-24,202.8000030517578,205.5,202.25,202.75,2820801,195.9829926350775,196.40458774165782
2017-11-27,204.60000610351562,205.39999389648438,201.0,202.5,2791373,196.80366058445256,196.7259766970248
2017-11-28,200.9499969482422,207.0500030517578,199.10000610351562,205.0,3649749,197.19854976195634,196.89162455001372
2017-11-29,197.89999389648438,202.8000030517578,197.3000030517578,201.3000030517578,3802629,197.26535396524474,196.93116844595374
2017-11-30,194.5,197.75,193.60000610351562,197.5,4826787,197.0019869209357,196.83582850689675
2017-12-01,191.9499969482422,196.8000030517578,191.6999969482422,195.5,3117840,196.52084501877442,196.64422726930246
2017-12-04,189.64999389648438,192.75,188.8000030517578,192.75,2843066,195.866478245223,196.36994360762333
2017-12-05,190.14999389648438,191.0,188.3000030517578,189.0,3093576,195.32205116439076,196.1260240111081
2017-12-06,186.64999389648438,189.75,186.39999389648438,189.5,2332029,194.49614094839967,195.75441498700522
2017-12-07,189.25,190.85000610351562,186.64999389648438,187.0,2447727,193.9965084771235,195.4993398894756
2017-12-08,188.89999389648438,191.39999389648438,188.14999389648438,191.0,3024776,193.51112613611028,195.24054200739755
2017-12-11,187.6999969482422,190.35000610351562,187.5,189.75,2005947,192.95768526107523,194.9448343580189
2017-12-12,185.85000610351562,188.14999389648438,185.3000030517578,188.10000610351562,1814721,192.28076343654575,194.58817442646978
2017-12-13,184.8000030517578,188.6999969482422,184.5,185.85000610351562,1886827,191.56831006656597,194.20432456863793
2017-12-14,182.85000610351562,186.14999389648438,181.5,185.6999969482422,2210973,190.73799540341832,193.75905717784883
