Price,Close,High,Low,Open,Volume,EMA20,EMA50
Ticker,ALKEM.NS,ALKEM.NS,ALKEM.NS,ALKEM.NS,ALKEM.NS,,
Date,,,,,,,
2015-12-23,1260.3760986328125,1289.566253211629,1237.1151942028182,1258.825416211454,10984341,1260.3760986328125,1260.3760986328125
2015-12-24,1389.9532470703125,1408.3794900379971,1263.386544506896,1266.1231218596185,5450848,1272.7167794363838,1265.457555434283
2015-12-28,1339.463134765625,1405.232174338749,1308.1748957557766,1398.1170301812062,2046162,1279.0735751820257,1268.3597350159043
2015-12-29,1336.863525390625,1361.9031605260996,1308.0838125883636,1340.7858856327518,1333944,1284.577379963797,1271.0461581678542
2015-12-30,1330.2047119140625,1359.075626783105,1317.2059688008958,1348.2205137726621,622721,1288.9228401495366,1273.3661014520192
2015-12-31,1354.8336181640625,1365.1869785338113,1315.8373972069753,1331.800762511046,774495,1295.2000571033009,1276.560906028962
2016-01-01,1371.1160888671875,1385.6199672795358,1350.044471082102,1363.7273542349612,508347,1302.4301553665282,1280.2689524147747
2016-01-04,1395.7913818359375,1441.2641558760042,1354.6058680227002,1368.197558598438,1350429,1311.3217007445674,1284.7992437646242
2016-01-05,1430.0440673828125,1449.3826142427579,1398.9383269328516,1402.9519960057926,658233,1322.6285928053526,1290.4951192006315
2016-01-06,1392.917724609375,1443.0883040812255,1384.7079934230721,1419.3713028763507,594918,1329.3227958343073,1294.5116919617587
2016-01-07,1338.505615234375,1381.880412263079,1330.3870798800613,1371.9374919460713,349010,1330.1973500628853,1296.2369438548026
2016-01-08,1347.49072265625,1371.8463293292316,1340.9229811666953,1350.0449062086457,190247,1331.8443379289201,1298.2468959646633
2016-01-11,1346.1221923828125,1354.4232317629394,1322.4508456866422,1334.9022934052282,187799,1333.2041335911956,1300.1243585692966
2016-01-12,1344.84521484375,1360.990974762421,1336.3617815194016,1350.9568589967464,143904,1334.312807996201,1301.8781176388832
2016-01-13,1291.4364013671875,1357.9352501673832,1244.230444262648,1348.2203787538076,353619,1330.2293406981996,1301.468638569405
2016-01-14,1309.725830078125,1334.5374176356993,1249.7035284763556,1274.3327221032619,395952,1328.2766254010496,1301.7924500011195
2016-01-15,1305.9403076171875,1340.922864848176,1297.1376284449702,1317.3882557408072,257237,1326.1493570406817,1301.9551110841026
2016-01-18,1226.5338134765625,1296.2709855551511,1215.2682602065934,1296.225331396937,635080,1316.6621624155275,1298.997413138709
2016-01-19,1213.58056640625,1254.2643176389854,1168.5182479240293,1236.020473018782,467691,1306.8448675575012,1295.647732874691
2016-01-20,1206.6480712890625,1237.9362017244496,1186.762233746368,1204.0938881976986,332152,1297.3023155319356,1292.1575500674114
2016-01-21,1248.4263916015625,1254.2644447419545,1220.5133287743529,1221.4255210978015,197466,1292.6474656338048,1290.4426026765939
2016-01-22,1246.784423828125,1276.8867683675508,1199.988916412562,1263.3862783971101,166387,1288.2795568904069,1288.7305172315557
2016-01-25,1237.708251953125,1256.818749795512,1231.4597562012414,1253.1699801475083,120355,1283.4632421344752,1286.729644083382
2016-01-27,1221.8817138671875,1244.8689176949292,1214.1737326652578,1244.8689176949292,90193,1277.5983346804478,1284.1865879964726
2016-01-28,1231.5509033203125,1242.4060148540432,1213.2158588515988,1216.8646283519042,116177,1273.2128650271015,1282.1224434993683
2016-01-29,1239.487060546875,1250.615763132575,1225.0743762852285,1225.0743762852285,136274,1270.0008836480324,1280.4504676973097
2016-02-01,1252.8507080078125,1262.8392824021737,1224.7095924747073,1241.4939562550182,145523,1268.3675335870591,1279.3681241800746
2016-02-02,1252.16650390625,1305.2561701341413,1248.6090425111502,1261.3797365289665,141659,1266.824578379363,1278.301393973258
2016-02-03,1252.7139892578125,1265.7582750350978,1236.4769184184922,1241.4939771062839,78557,1265.480712748739,1277.297966337358
2016-02-04,1229.179443359375,1271.5963963213126,1221.4258067964402,1259.0080947726024,127453,1262.0234489973711,1275.4109654362605
2016-02-05,1220.55908203125,1231.915832839627,1213.2158886906361,1226.8987746533123,31085,1258.0744616672644,1273.2599111850836
2016-02-08,1207.1495361328125,1235.7923937330565,1200.627339575585,1226.8985197054521,38022,1253.2244687592213,1270.6673474575437
2016-02-09,1220.878173828125,1226.3513275260827,1185.8499678908752,1194.9718907208048,42425,1250.143869241974,1268.7148308446253
2016-02-10,1204.9149169921875,1222.3377688903781,1176.7281506482,1220.422187194528,50038,1245.8363499800896,1266.2128734386474
2016-02-11,1163.7752685546875,1211.3916738443652,1142.6123351524545,1204.0941336404833,123980,1238.021008891956,1262.195712462806
2016-02-12,1203.865966796875,1267.7194372843016,1144.8015065960053,1164.0032019046564,518016,1234.7681477400433,1259.9082714562987
2016-02-15,1199.4873046875,1240.125519050656,1178.5981886299403,1240.125519050656,130223,1231.4080674493248,1257.538821779091
2016-02-16,1194.6070556640625,1215.9523785022393,1177.9595456057984,1204.0938781867637,85016,1227.9032091840618,1255.0709093824232
2016-02-17,1202.178466796875,1210.7074440381402,1173.0795050164238,1196.7965090058694,143402,1225.4532337186154,1252.9966959476958
2016-02-18,1193.6949462890625,1217.0927035001978,1187.8568926884789,1199.9890960873227,46411,1222.4286349158008,1250.6711371375534
2016-02-19,1195.2913818359375,1206.8306388618187,1181.289249679558,1190.4111743875083,75666,1219.8441346224804,1248.4993820276861
2016-02-22,1169.0655517578125,1201.3115251506451,1158.4841440509724,1194.9718336273809,71363,1215.0080791115597,1245.38432986024
2016-02-23,1194.971923828125,1204.0938469107825,1169.430539196684,1174.0826976985195,124252,1213.0998738464707,1243.4073727609416
2016-02-24,1166.7850341796875,1193.0562143827106,1159.3962995449585,1190.4108347019442,50434,1208.6889367353485,1240.4025751695199
2016-02-25,1160.4456787109375,1172.1673297379934,1149.3625178753864,1169.70445459748,30759,1204.0943407330235,1237.2670106025168
2016-02-26,1167.1956787109375,1176.6368465571925,1119.2599297619918,1169.4305052606956,41075,1200.5801824452058,1234.5191152342197
2016-02-29,1153.6038818359375,1167.6060097607985,1142.5663785452348,1167.423615862408,20747,1196.1062490538468,1231.345968826444
2016-03-01,1199.7154541015625,1205.4166568589483,1150.41151946666,1155.8846741137502,61308,1196.449982867915,1230.1055564842918
2016-03-02,1186.853271484375,1210.5702691306913,1182.6115554042353,1207.7424955277943,37130,1195.5360103551968,1228.4093884450795
2016-03-03,1192.3721923828125,1213.124567297749,1180.422495471345,1196.8874997467412,127326,1195.234694357827,1226.9961650700886
2016-03-04,1196.1578369140625,1228.7230582833822,1188.449744978755,1194.9719423542915,55849,1195.322612696516,1225.7868188678915
2016-03-08,1224.7095947265625,1257.9134230885645,1208.6550294360752,1226.898878936997,119691,1198.1213728898538,1225.7445747839179
2016-03-09,1227.5826416015625,1236.0204193721845,1209.5668458210455,1226.8984974579987,40059,1200.9272080052547,1225.8166558355902
2016-03-10,1229.8175048828125,1239.6692253867868,1223.249765447889,1238.7570331679592,30565,1203.6786648507364,1225.9735518766577
2016-03-11,1247.1492919921875,1251.5278596569924,1222.2465085344631,1223.2498978134306,54502,1207.8187245784936,1226.8039730576588
2016-03-14,1235.1085205078125,1246.8301706810096,1202.5432960808587,1231.4597508755885,93659,1210.4177527622383,1227.1296415851157
2016-03-15,1237.1153564453125,1249.5212628495744,1226.9444997066732,1235.1085775954793,30214,1212.9603816844358,1227.5212382462998
2016-03-16,1237.16064453125,1245.142326108871,1225.9862903225808,1245.142326108871,22480,1215.2651686222275,1227.899254179043
2016-03-17,1232.2352294921875,1267.6738862246932,1219.236486228601,1245.1427757751264,46550,1216.881364895557,1228.0692924266173
2016-03-18,1263.2900390625,1272.5239217691694,1218.5910033049868,1244.9602267127975,105456,1221.301238625742,1229.4504981770442
2016-03-21,1240.64208984375,1275.2804254118143,1235.77245834214,1274.2237945587888,27507,1223.1432244560285,1229.8893841247582
2016-03-22,1251.851318359375,1258.7422430475917,1232.0054776887064,1243.1228137543005,67466,1225.8773286372996,1230.7506364476844
2016-03-23,1245.6951904296875,1255.9396064373248,1239.447375254283,1242.2037445098524,61753,1227.7647440460985,1231.3366973881552
2016-03-28,1274.63720703125,1279.874264326873,1242.6632753066012,1249.554199199244,92882,1232.2287881399225,1233.034756589845
2016-03-29,1295.8154296875,1302.8441954866485,1236.553475802529,1281.2526308928993,226373,1238.2846587635013,1235.4967437701453
2016-03-30,1259.752685546875,1305.6003194786065,1254.2399466891188,1302.8439500497282,68085,1240.3292327428703,1236.4479571731542
2016-03-31,1246.29248046875,1268.8488167517066,1240.366330640698,1265.173657253512,57439,1240.897161097716,1236.8340169102364
2016-04-01,1219.7396240234375,1226.5845641817368,1166.8632183601542,1177.888697588754,288351,1238.8821575668323,1236.1636485617346
2016-04-04,1245.0982666015625,1258.3288647744266,1192.589396696215,1225.6658360498852,168161,1239.4741679510923,1236.514025739767
2016-04-05,1225.1143798828125,1254.929064958005,1217.4425072454187,1241.2850584347298,28090,1238.1065690874466,1236.0669808042003
2016-04-06,1206.738525390625,1244.041368209839,1202.695827907444,1223.8279929508903,40140,1235.119136354416,1234.9168452977856
2016-04-07,1229.1572265625,1232.924242885006,1210.1382075108145,1220.97997366532,74984,1234.5513354218524,1234.6909778964018
2016-04-08,1232.005615234375,1246.2927333888247,1222.082637712714,1227.9629165345505,20874,1234.308885880188,1234.5856695567145
2016-04-11,1221.5771484375,1242.2039366951306,1216.845358051979,1242.2039366951306,21031,1233.0963394570747,1234.0755314736082
2016-04-12,1225.5738525390625,1233.8888337211347,1220.3366828896721,1224.746919209478,9640,1232.3799121315496,1233.7421322997043
2016-04-13,1230.2596435546875,1240.366332187325,1226.5844840519103,1226.7681971642621,14050,1232.177981790896,1233.6055641136252
2016-04-18,1173.1109619140625,1182.4825738134332,1135.9918283854952,1163.187986361932,319467,1226.5525513264356,1231.233226772466
2016-04-20,1169.7113037109375,1191.5785464075036,1153.0812303107564,1176.9697657594254,66906,1221.1390991725787,1228.8206023386806
2016-04-21,1141.1829833984375,1189.2816098397482,1111.1844722240883,1187.9952816123325,294279,1213.5242310036128,1225.383832968475
2016-04-22,1133.6029052734375,1153.0352199065069,1103.6962522842425,1143.3420547664687,32915,1205.9126761721675,1221.784580902003
2016-04-25,1127.0794677734375,1146.6037521490139,1121.842410474304,1133.92451947223,34850,1198.4047515627647,1218.0706548969613
2016-04-26,1122.577392578125,1130.1114238745065,1107.1876638383706,1126.4362647724754,42982,1191.1830983261323,1214.3258210805363
2016-04-27,1113.06787109375,1130.1114669417116,1097.0350337629297,1128.273887320668,177077,1183.743552875429,1210.3549210810545
2016-04-28,1095.289306640625,1120.7398515921234,1093.3598704770573,1120.7398515921234,74937,1175.319338948305,1205.842544044175
