Price,Close,High,Low,Open,Volume,EMA20,EMA50
Ticker,APOLLOHOSP.NS,APOLLOHOSP.NS,APOLLOHOSP.NS,APOLLOHOSP.NS,APOLLOHOSP.NS,,
Date,,,,,,,
2010-01-04,323.04144287109375,337.3254359776539,301.12693280342035,304.2908070750147,563604,323.04144287109375,323.04144287109375
2010-01-05,340.9313049316406,344.3045590575422,318.760871627634,325.1817090962017,597476,324.7452392578125,323.7430060891544
2010-01-06,329.3459777832031,341.6060312901821,303.0113377538303,303.0113377538303,168942,325.18340483165923,323.96273046931316
2010-01-07,332.13763427734375,348.4921154049713,316.38803534763747,316.38803534763747,392410,325.8457123979149,324.2833149323732
2010-01-08,331.0209655761719,341.51294478044974,328.0199265261813,334.5337974075523,133122,326.338593652987,324.54753652624765
2010-01-11,330.5558166503906,339.1866932193289,328.0665694211573,331.02109332147336,88576,326.740233938454,324.78315535464543
2010-01-12,327.0661315917969,335.4643670000164,323.90225697241254,334.95257419328686,82990,326.771271810201,324.87268383453375
2010-01-13,330.788330078125,334.5338001863807,320.5755053246402,326.1588232693364,98122,327.1538487880985,325.1046699617334
2010-01-14,331.6025390625,337.79071030721656,326.15879879526005,334.3243949970092,154890,327.5775335761367,325.3594883578419
2010-01-15,324.1581115722656,335.11536639753206,321.08726993323063,334.9292444564192,53922,327.2518743376728,325.31237554272127
2010-01-18,323.8092041015625,329.8810570890717,317.3185908811663,323.83246224822835,78840,326.92400098185277,325.253427643068
2010-01-19,314.8758850097656,326.1355824769782,313.5963745793602,325.6935641031931,58592,325.7765613654635,324.8464651868601
2010-01-20,315.5738220214844,320.57554496542974,312.3401442990091,320.1102684125046,43784,324.80487190413214,324.48283212155127
2010-01-21,316.1553649902344,329.4157445372862,314.0616208512262,318.6678693163331,125428,323.9811093409038,324.15626478306825
2010-01-22,310.24639892578125,316.3880550865179,306.8498857787626,315.4575019833223,132082,322.67304168232073,323.6107798474884
2010-01-25,306.3380432128906,311.73523897617423,302.0574939532748,311.43279790743077,53094,321.117327542375,322.9334176265238
2010-01-27,300.1963806152344,311.73523125673483,297.8234536070337,306.15191368198737,80000,319.12485640645684,322.0417691162772
2010-01-28,307.3848876953125,314.99214603721884,291.7748406051728,305.68661735074267,275776,318.0067641482526,321.4669894527099
2010-01-29,317.2953796386719,321.0408505487615,302.4297867488333,307.54782929381355,107422,317.93901324257826,321.30339691098294
2010-02-01,330.62542724609375,336.8136266230594,319.31921542206373,320.11019105052446,147552,319.147243147675,321.66896672804614
2010-02-02,320.7150573730469,337.0927944025457,316.4345082724179,337.0927944025457,84658,319.29655878818664,321.6315585180462
2010-02-03,333.3240661621094,341.93168064264006,322.06437018901414,324.76296796813085,175536,320.63251187141736,322.0900882295781
