Price,Close,High,Low,Open,Volume,EMA20,EMA50
Ticker,BHARTIHEXA.NS,BHARTIHEXA.NS,BHARTIHEXA.NS,BHARTIHEXA.NS,BHARTIHEXA.NS,,
Date,,,,,,,
2024-04-12,805.9743041992188,872.0735255634345,748.1994452277194,748.1994452277194,53465498,805.9743041992188,805.9743041992188
2024-04-15,798.839111328125,812.6139326737003,775.9472064433016,778.4246879453557,5068261,805.2947620210194,805.6944927140779
2024-04-16,895.36181640625,909.4339234595742,806.6679784777947,808.6499636828999,13031759,813.8725767243748,809.2108583490651
2024-04-18,960.4205322265625,1006.4025539993058,898.0375340276014,912.7042128647231,13608473,827.8295248674402,815.140649481516
2024-04-19,938.6187133789062,977.9115356910345,917.8078677125601,941.3934807040074,5137294,838.3808761542465,819.9829264970999
2024-04-22,918.4519653320312,984.600723956754,897.8393305467987,946.2988947671563,3677669,846.0066941711783,823.8444574318032
2024-04-23,918.848388671875,931.334871752139,898.9294003000178,916.6681927649774,2346573,852.9439984093399,827.570101794159
2024-04-24,909.5330200195312,965.6727764749706,903.7852748859748,922.217713534888,1271044,858.333429038882,830.7843338814284
2024-04-25,900.0690307617188,912.8528595216061,892.8843343972569,908.6411409631285,988092,862.3082482505806,833.5013808179104
2024-04-26,886.591552734375,910.7221983216475,867.5149452069629,901.4068436985222,1067575,864.6209439157038,835.5833483440463
2024-04-29,876.1860961914062,890.2581421562742,864.6410086722868,887.4833750851193,878004,865.7223869895803,837.1756129655114
2024-04-30,858.6951293945312,881.2402121339721,853.4428804578056,874.0555154367877,617812,865.0531243614804,838.019515570571
2024-05-02,870.8843383789062,888.3258455035248,846.4564055767947,857.2086517543545,821324,865.6084780774257,839.3083321512901
2024-05-03,863.5013427734375,874.3527234001469,857.2085642129648,872.0734526097214,433165,865.4077985246649,840.257077665884
2024-05-06,898.2852783203125,921.6231425755509,857.4563700145112,868.7041121302827,1320523,868.5389870766314,842.5326933778224
2024-05-07,878.1185302734375,910.1276400648671,862.2626484638432,906.7582409861727,834415,869.4513245239464,843.9282163933367
2024-05-08,862.014892578125,879.010439934486,850.5194025634415,872.0734917050144,1675583,868.7430929100586,844.6374978123481
2024-05-09,860.8257446289062,875.9879192844353,855.226612254867,862.163560442334,707120,867.9890597404251,845.2723310208405
2024-05-10,894.4699096679688,901.8032792095427,859.5870180253175,861.0735069470915,647972,870.5110454478103,847.2016478305319
2024-05-13,892.0419921875,904.7762226050372,870.7356517866147,900.713177234372,470673,872.5616118039712,848.9600927072757
2024-05-14,891.5960083007812,903.7852045546052,876.9788682051887,891.8932939683604,440688,874.3744114703342,850.6320893972172
2024-05-15,945.4564819335938,953.3348852340085,888.2761965745593,926.578084920788,2431049,881.1441324668351,854.3506930260947
