Price,Close,High,Low,Open,Volume,EMA20,EMA50
Ticker,BOSCHLTD.NS,BOSCHLTD.NS,BOSCHLTD.NS,BOSCHLTD.NS,BOSCHLTD.NS,,
Date,,,,,,,
2010-01-04,4101.70751953125,4136.654244959221,3897.199721648853,3897.199721648853,4072,4101.70751953125,4101.70751953125
2010-01-05,4055.2998046875,4171.170611165381,4028.9716130574707,4157.381617409463,6284,4097.287737165178,4099.887609145221
2010-01-06,3989.67333984375,4072.0626708480772,3982.6496545305135,4072.0626708480772,1319,4087.03874694409,4095.5654809373204
2010-01-07,4054.353515625,4093.608902142814,3967.827213974239,4024.6639101067244,1954,4083.925867770843,4093.9493254348768
2010-01-08,4367.23291015625,4455.568652295572,4063.4441384088245,4082.877833356796,50809,4110.907490855167,4104.666328757284
2010-01-11,4351.03076171875,4421.0959146160185,4335.043895352459,4408.168733579129,7465,4133.776373794556,4114.327679069498
2010-01-12,4275.27685546875,4386.623135602779,4244.467076078219,4351.288843154898,3668,4147.252610144479,4120.639411477312
2010-01-13,4238.56494140625,4283.2066451598685,4186.985396940512,4283.2066451598685,5532,4155.9490226456,4125.263942062761
2010-01-14,4216.45947265625,4307.337745268385,4202.196647844868,4307.337745268385,4176,4161.711922646615,4128.840237380153
2010-01-15,4268.51220703125,4438.33210497768,4222.879090172938,4222.879090172938,9654,4171.883378302295,4134.317569523333
2010-01-18,4240.8916015625,4290.876709524861,4224.689700407742,4268.512935256781,10697,4178.455590041362,4138.496943328791
2010-01-19,4238.0048828125,4341.810342064485,4216.976746976561,4216.976746976561,5006,4184.12695125766,4142.399215465407
2010-01-20,4238.73779296875,4247.873088072203,4192.803362875114,4192.803362875114,78145,4189.327983801573,4146.17719889691
2010-01-21,4164.189453125,4248.690374938019,4150.529648322516,4196.162763518935,1086,4186.933838022852,4146.883561807816
2010-01-22,4146.56689453125,4178.9277775691735,4046.2086854376716,4078.009474650682,12662,4183.089367214128,4146.871143483245
2010-01-25,4136.7841796875,4212.537376082144,4120.36640735604,4212.537376082144,1879,4178.679349354449,4146.4755762755685
2010-01-27,4049.0078125,4187.544077249508,4030.694309383813,4055.729777085891,2151,4166.329679177835,4142.653311029468
2010-01-28,3970.0244140625,4136.698819850976,3922.1075685712067,4054.869577998093,3538,4147.633939643041,4135.883550364097
2010-01-29,4002.90283203125,4023.8017810977785,3926.4169875094194,3967.7839794761558,1567,4133.850024632395,4130.668620233397
2010-02-01,4078.267578125,4128.08015150524,3990.233131359328,4007.426451878782,2441,4128.556458298357,4128.613677405617
2010-02-02,4120.755859375,4214.262501797291,4104.036783508784,4136.69938826728,2342,4127.81354411518,4128.305527678926
2010-02-03,4110.45654296875,4158.201279359541,4085.0330810104733,4093.608281417414,2331,4126.160496386949,4127.605567494214
2010-02-04,4047.458251953125,4136.698740841705,4033.281272320663,4043.665941461948,853,4118.665044536108,4124.46253551221
2010-02-05,3997.47314453125,4023.8013400850946,3967.826466892285,3967.826466892285,3269,4107.12295882136,4119.482559395309
2010-02-08,4080.93896484375,4119.4621368309445,4011.735616516328,4011.735616516328,1149,4104.629245109207,4117.971045883483
2010-02-09,4142.2568359375,4170.3086507897,4081.542006641872,4092.573032931746,2218,4108.212825188092,4118.923429807171
2010-02-10,4077.103759765625,4201.20469919237,4059.2211591190626,4179.788584859127,2757,4105.250057052619,4117.283442746718
2010-02-11,4095.28857421875,4157.381973725015,4054.0074339785424,4103.9496183413185,2948,4104.301344401774,4116.420898882876
2010-02-15,4062.884033203125,4135.750079287837,4059.2213317101455,4135.750079287837,577,4100.3568385733315,4114.321413954258
2010-02-16,4069.865234375,4133.682260123425,4059.1355040511485,4133.682260123425,835,4097.452876268729,4112.578034362915
2010-02-17,4068.27001953125,4128.036768950792,4060.125727391857,4102.225329907386,1192,4094.6735565794447,4110.840465153829
