Price,Close,High,Low,Open,Volume,EMA20,EMA50
Ticker,BSE.NS,BSE.NS,BSE.NS,BSE.NS,BSE.NS,,
Date,,,,,,,
2017-02-03,95.53353881835938,107.22057544327707,95.16719924786454,96.94527535817858,141945858,95.53353881835938,95.53353881835938
2017-02-06,91.95951080322266,97.19545283406421,91.4144771070058,96.58787066668184,19796400,95.19315519787017,95.39338085698147
2017-02-07,89.95806884765625,92.56263150014904,89.46663845933071,92.0309970751856,11647314,94.69457554546884,95.18023136641969
2017-02-08,91.36980438232422,92.4643443896795,89.23432770412856,90.51204056429235,10684044,94.3779306727884,95.03080285723948
2017-02-09,90.24845123291016,91.91484192396848,89.98933674768622,91.58423996462822,4200156,93.98464691660952,94.8432596562854
2017-02-10,89.79723358154297,91.49489548930397,89.61853329681193,90.67286927137259,3787821,93.58584564660319,94.6453762808053
2017-02-13,89.51132202148438,90.28420526718712,89.2164637655727,90.1546480097987,4534749,93.19779577754426,94.44404081965546
2017-02-14,89.7078857421875,91.04814093385242,89.17177875735294,89.78829994934947,4616037,92.86542339322457,94.25830924799004
2017-02-15,87.71536254882812,90.23505056480136,87.35796199492898,89.52918232352685,4000185,92.37494140804395,94.00172310292487
2017-02-16,86.12492370605469,88.20679077821424,85.8658092310271,87.83151836513443,3511584,91.77970162690212,93.69282900892998
2017-02-17,86.4197998046875,87.38478270365627,86.13388053634422,86.75932855239442,2282085,91.2692347866912,93.40761217739106
2017-02-20,86.77273559570312,87.24182775163369,86.05346177463784,86.41980140401789,1796481,90.84099676850185,93.14742093889349
2017-02-21,87.94322967529297,88.89480715414894,86.82187861667347,87.11673689375627,3005523,90.565018950101,92.94333500698758
2017-02-22,87.49418640136719,88.60778904684301,87.22925345755266,88.19019113805825,1224666,90.27255870736445,92.72964290480638
2017-02-23,86.74430084228516,87.71870626709003,86.66347603512814,87.54358276831438,1080675,89.93653414878548,92.49492360823692
2017-02-27,85.6845703125,87.00023791990152,85.53189919650585,86.39404269465358,1862262,89.53158521199639,92.22785092997272
2017-02-28,85.04246520996094,86.65449676522313,84.59791952485043,85.76990080080658,1903968,89.1040499737073,91.94607109781539
2017-03-01,83.88844299316406,85.67559795901401,83.69985178732382,84.8673376009101,2185749,88.60732549936986,91.63008568194672
2017-03-02,82.37071228027344,84.64282228499992,82.17313642481247,84.29257529878045,2698371,88.0133623356464,91.26697299952818
2017-03-03,79.99082946777344,82.34376408873509,79.6136409102266,82.1731298484441,7549470,87.24931158632518,90.82477129240054
2017-03-06,85.06490325927734,85.74294477101917,79.92795642852506,79.92795642852506,11163825,87.04127269803492,90.59889411463101
2017-03-07,84.30155944824219,86.64550959887353,84.06805734777652,85.67559961699416,4231584,86.78034762662608,90.35193981398831
2017-03-08,82.96791076660156,84.73261302554309,82.70746712075534,84.40930771222305,1737693,86.41725840186184,90.06237004742412
2017-03-09,84.86283874511719,86.30423580929275,82.38417475002156,82.96791759066436,6647049,86.26921843455283,89.85846685909837
2017-03-10,84.11295318603516,85.75641536125643,83.75372776155177,85.31636514124479,1745559,86.0638598394559,89.63315259740962
2017-03-14,84.86283874511719,86.21442637233088,84.41829313192153,85.76539768713089,2045439,85.94947687809031,89.44608146594717
2017-03-15,84.89876556396484,86.36261510366266,84.427284482072,84.98857500806078,2616714,85.84940913388789,89.26775535214395
2017-03-16,84.88978576660156,85.52292260471792,84.68772068706365,85.31187904752476,1147203,85.75801643224158,89.09607027035797
2017-03-17,84.76854705810547,86.0887039578335,84.54402961372757,84.97510138030279,2831787,85.66378125375242,88.92636347772061
2017-03-20,84.27011108398438,85.31636265632655,83.96925810394458,85.31636265632655,1044504,85.53105076139356,88.74376534463292
2017-03-21,84.31053924560547,85.04695330507809,84.05908018465995,84.54403518318706,1899927,85.41481156941374,88.5699133407495
2017-03-22,83.91539764404297,84.41831582654412,83.61005534274415,84.41831582654412,1141722,85.27201024318795,88.38738331342766
2017-03-23,84.20277404785156,84.61588272539356,83.76720684087907,84.25665725217988,1176894,85.17017822458449,88.22328098928743
2017-03-24,84.871826171875,85.61272943879237,84.05907658111929,84.38238195512332,2735424,85.14176374337407,88.0918513886046
2017-03-27,84.03662872314453,85.13676366821134,83.89293606776715,84.92571392440004,1183950,85.0365127890665,87.93282304878264
2017-03-28,84.35095977783203,84.7730469531054,84.0770483379292,84.31952276843009,830043,84.9712220260918,87.79235782247086
2017-03-29,85.4376220703125,87.29212815640577,84.14889582972896,84.38688102403694,4493691,85.01564107792234,87.70001524395485
2017-03-30,86.8161392211914,87.20680166981754,85.76989373018635,86.03930972937304,2619000,85.18711709156702,87.66535343914059
2017-03-31,87.79953002929688,88.10038305780422,86.66796424295336,86.91493406733066,2490912,85.43591832373177,87.67061526620554
2017-04-03,87.78155517578125,88.70207726185279,87.57051162671668,88.36979343642781,1166247,85.65931230964125,87.67496585089478
2017-04-05,87.95668029785156,88.99844267981173,87.83095078047958,88.53144468677152,1393713,85.87810926089938,87.68601347626564
2017-04-06,87.18435668945312,88.09140501875474,86.94187610312078,88.01057404561898,644769,86.0025137779045,87.66634066109653
2017-04-07,89.08374786376953,90.2018395262662,86.7532658684829,87.11249126341264,2326770,86.29596464322498,87.72192525727978
2017-04-10,92.5098876953125,92.94544869904695,89.35767117541411,89.35767117541411,4795848,86.88776683866189,87.90968849014382
2017-04-11,93.72677612304688,94.38685463148451,91.42772444178834,92.94994655988073,3087342,87.53910105622236,88.13780957378708
