Price,Close,High,Low,Open,Volume,EMA20,EMA50
Ticker,COLPAL.NS,COLPAL.NS,COLPAL.NS,COLPAL.NS,COLPAL.NS,,
Date,,,,,,,
2010-01-04,248.3083953857422,250.4603697647717,239.4292632263955,241.59931697164984,226504,248.3083953857422,248.3083953857422
2010-01-05,247.9106903076172,252.44971734343164,245.93955271279873,250.27966246655402,274586,248.27051871163505,248.29279910816865
2010-01-06,248.57962036132812,252.08787788315192,243.17256605487515,243.17256605487515,196952,248.29995696398677,248.30404700044943
2010-01-07,250.8401336669922,252.52193420928617,247.02446011100997,249.55618957042003,167180,248.5418785547492,248.40350137952953
2010-01-08,247.00636291503906,255.52381913798646,246.0479137160438,251.364549612032,153168,248.3956389700149,248.34871163582403
2010-01-11,249.55628967285156,251.00299280138984,247.4043143541633,247.76599013629786,206698,248.5061771321898,248.39606763727608
2010-01-12,246.9341278076172,250.894481837388,242.72059632812403,244.13114063733667,117452,248.3564581488972,248.338736663564
2010-01-13,251.65390014648438,253.0644439402238,244.4927270531098,246.66278084352203,174020,248.6705002439055,248.46874307465893
2010-01-14,246.8256378173828,254.18573103113079,246.12036563899187,249.55628551198294,219404,248.49479906042717,248.4043075743736
2010-01-15,246.84365844726562,249.5562261225103,245.5958729016666,249.5562261225103,166264,248.3375475734594,248.34310564782035
2010-01-18,255.5420379638672,256.77174454218084,247.74792870924313,249.44780942340392,333484,249.02368951540302,248.62541671903787
2010-01-19,255.14407348632812,260.64154738871105,253.89628816795297,256.0663419129782,308734,249.6065832269197,248.88105031775515
2010-01-20,255.0897674560547,256.78964699906146,228.83213069147246,248.14559230532055,90982,250.12879124874206,249.1245294212179
2010-01-21,250.42420959472656,257.87471858069114,249.55617927163658,254.25796235936306,86902,250.156926329312,249.1754972711594
2010-01-22,248.94143676757812,250.64131736091537,244.52898780453404,249.7371279043464,81318,250.0411654186707,249.16631842788172
2010-01-25,246.8798065185547,249.52005660165273,245.5777829206709,246.30113426947995,35544,249.74008361865964,249.07665129418262
2010-01-27,242.35887145996094,246.66282100840903,240.5866738208423,244.8906012943581,146284,249.0371110321169,248.81320894774257
2010-01-28,237.54852294921875,244.13102309810853,235.08913335373416,243.40767191855858,257050,247.9429597861266,248.37145655564362
2010-01-29,245.59584045410156,249.28493642002582,235.45084310400696,235.45084310400696,300140,247.71942461164804,248.26260886538708
2010-02-01,261.654296875,263.2275773838905,245.2522901777466,249.15840550659675,385566,249.04655530339585,248.78777310105818
2010-02-02,257.440673828125,269.050473209079,256.1024697650653,262.2147959065114,236874,249.84599516289387,249.12710254133532
2010-02-03,256.77166748046875,261.1298552479444,256.24723330078757,257.9651928747872,56034,250.5055830026629,249.4268894016935
2010-02-04,254.02291870117188,260.0448279275194,252.41347949842347,260.0448279275194,56544,250.84056735490185,249.60712584481033
2010-02-05,250.80398559570312,256.06636192363936,247.74782191764544,249.55620017981803,97726,250.8370833778353,249.65406152131595
2010-02-08,251.2921905517578,258.56188301207237,249.91782775189895,256.789663826119,91124,250.88042691820888,249.71830187545092
2010-02-09,251.32839965820312,252.77510215253744,249.62851981237463,251.72623401417377,28980,250.92309098868452,249.7814429649706
2010-02-10,253.20913696289062,254.9813566404352,251.3826791778285,252.08795117501182,214956,251.1408096528946,249.91586233743806
2010-02-11,253.75164794921875,257.151408167054,251.418857476003,253.89632705101533,147506,251.3894609192112,250.06628530260593
2010-02-15,257.440673828125,280.24431476749237,250.315660476094,259.68306684258647,171388,251.9657669105363,250.35547700948905
2010-02-16,254.99940490722656,258.63424066483594,253.1729473449382,258.63424066483594,76790,252.254684814983,250.53759182900816
2010-02-17,253.87820434570312,256.6631110179243,253.17293247596308,254.99938993098266,82156,252.4093057226706,250.66859624142757
2010-02-18,252.55809020996094,256.3918651662521,252.0879163018586,253.87821510091064,175874,252.42347567384112,250.74269404411515
2010-02-19,252.63040161132812,258.23637330062746,251.54537483275405,252.7931600430995,80342,252.44318290598272,250.816721791849
2010-02-22,254.9632568359375,255.48769094949841,251.90709314304945,254.2579848952818,67122,252.6831899469308,250.97933100926423
2010-02-23,255.07177734375,256.7897368508508,253.8963313652074,254.42076552446665,52950,252.91067446091358,251.1398191008127
2010-02-24,250.94869995117188,254.9813932272218,249.5562572011107,254.9813932272218,57228,252.7238197457001,251.13232423219935
2010-02-25,245.25221252441406,252.08789011061216,244.329944170702,247.78394169338722,195254,252.01223810557764,250.9017316162078
2010-02-26,248.9232635498047,255.01748935959196,242.32268300525845,244.131061236641,436248,251.71805005264687,250.8241446332116
2010-03-02,252.57623291015625,254.98138530363232,249.91792516994317,249.91792516994317,86730,251.79978175336205,250.8928539774055
2010-03-03,255.10792541503906,256.6088882779268,252.84745247390157,254.98134776030778,96958,252.11484305447414,251.0581508965284
2010-03-04,255.37913513183594,257.74812799776794,253.4984396511439,255.27063686563093,97188,252.42572801422287,251.22760125869732
2010-03-05,255.07177734375,256.7716574815519,251.7624359895726,255.7047097937345,70204,252.67773271227307,251.37835326203273
2010-03-08,256.4461364746094,258.1098578474749,255.34303006565767,257.3684050435713,36824,253.03662830868603,251.57708985860438
2010-03-09,259.5384521484375,263.2998879491115,254.34841511018223,256.35571066513774,134530,253.6558496267576,251.8893001444802
2010-03-10,258.6343078613281,263.6073491905204,257.15144618587016,260.4065277831597,119034,254.1299885062405,252.15381025102326
2010-03-11,263.0467224121094,281.81769937397587,240.53241092443344,249.55622371881768,244804,254.97920125918037,252.58098327694822
2010-03-12,266.33795166015625,267.6399751416846,244.6374131351548,258.59808408960066,237202,256.0609870116543,253.12047223315244
2010-03-15,262.3776550292969,267.6400323310903,261.56388466072264,267.6400323310903,94620,256.662574441906,253.48349900947184
2010-03-16,261.5096435546875,265.4699973857149,260.4607971369533,265.4699973857149,50326,257.1242000716947,253.7982497759509
2010-03-17,259.1948547363281,264.3306311346703,258.59808110380925,262.2509962167026,42246,257.32140527785026,254.00988134302452
2010-03-18,259.95440673828125,262.9382312330163,258.59812287703807,262.9382312330163,23632,257.5721673217008,254.24299998597579
2010-03-19,258.43536376953125,261.4553690715067,257.8747708565687,260.4065007247258,43592,257.6543765072085,254.40740640886034
2010-03-22,259.01409912109375,262.19684132980524,256.78978441205714,258.23648742282927,39276,257.7838738990071,254.58806102502638
2010-03-23,258.417236328125,261.4553204347322,257.53112662412053,261.4553204347322,172712,257.8441941303517,254.7382247624028
2010-03-25,255.52386474609375,260.7320033033752,254.25799988181728,260.7320033033752,179558,257.62321037947,254.76903417352796
2010-03-26,251.92518615722656,256.7897283845684,249.77321148324287,256.7897283845684,241254,257.080541405923,254.6575107219083
2010-03-29,246.1744842529297,256.4279777784154,245.5777107356052,253.17289766557235,420808,256.0418692961141,254.32484301724247
2010-03-30,245.70437622070312,250.24342388342546,245.21612285914253,246.735165203345,151686,255.05734614607496,253.98678549580956
2010-03-31,244.2395477294922,247.56696792965366,243.40769819818394,246.0841066814489,237872,254.02707963020993,253.60454087752262
2010-04-01,244.31178283691406,247.71154112456784,243.516092378642,245.92124311218546,168112,253.10181326894366,253.2401189935772
2010-04-05,245.4150848388672,247.56706004607386,244.13114029379088,245.8310207967498,167014,252.36974389465067,252.93325490907878
2010-04-06,250.20718383789062,251.90706362840157,245.7947369587752,246.42766927944956,1009030,252.16378579400686,252.82635016118905
2010-04-07,256.9886169433594,259.3214291941925,250.96673089112934,251.70816152474623,1061506,252.6232935225166,252.98957630950946
2010-04-08,256.2236328125,258.5183314136478,253.54646591836212,257.9173288658278,499294,252.9661829787055,253.11640205472477
2010-04-09,260.2485656738281,262.3247308259669,253.87438806810104,254.60286550875557,303332,253.65974323538384,253.39609474567
2010-04-12,260.2849426269531,263.3445563232544,258.62766113785824,260.24852765278735,87144,254.2907146060095,253.66624564297524
2010-04-13,260.2849426269531,261.5233629876855,258.6094536507754,260.794885653458,73496,254.86159346514697,253.92580238744495
2010-04-15,260.8131103515625,261.81476675222456,259.01012438409776,259.01012438409776,585176,255.42840459718656,254.19589289584172
2010-04-16,267.3330383300781,269.536678348682,260.0664707310256,260.50356168272975,387240,256.56217923841433,254.71107506973337
2010-04-19,263.67242431640625,266.9869878514833,262.25188438344884,266.9869878514833,73610,257.23934543631833,255.0625005303872
2010-04-20,263.59954833984375,265.71212832715185,261.5597983065322,264.80153158853926,85416,257.8450790461779,255.39728671899337
2010-04-21,264.6376953125,265.785056423396,262.25193562221125,263.5996236265442,35872,258.4919948810657,255.7596556834446
2010-04-22,267.7336730957031,268.80818179168597,264.0730783183907,265.16579450453577,62878,259.37215471103116,256.22922499372925
2010-04-23,273.6707763671875,275.364495450003,267.3512429369077,268.4257516974375,214574,260.7339282020937,256.9132074005316
2010-04-26,274.9274597167969,276.63938663467525,273.197325304006,275.0003119278207,178652,262.0856931082559,257.6196486678361
2010-04-27,277.7867126464844,278.42413050732404,273.94397575746854,273.94397575746854,93334,263.5810283023729,258.4105139219007
2010-04-28,274.19891357421875,278.07806497064246,272.1045408608582,276.82143689635257,83598,264.5922554711201,259.0296668494426
2010-04-29,266.8594055175781,277.51338402202396,265.16568722176373,274.03488778505806,138362,264.8081745231637,259.3367154246636
2010-04-30,270.2651672363281,272.04994610119155,268.0797346171664,269.53668969660754,88722,265.32788811489365,259.76528216237597
2010-05-03,276.9853515625,280.82806578553556,269.88269620216545,272.10454360182536,129602,266.4381227289514,260.4405790015965
2010-05-04,275.0913391113281,280.445653633652,273.5797392789426,278.67908220851376,73244,267.262238574892,261.01511861374286
2010-05-05,275.14593505859375,276.45718554412184,267.9339906940883,267.9339906940883,53866,268.013066811435,261.5692682782468
2010-05-06,272.2320556640625,277.49528791355135,271.41251846144553,273.9439600355446,41654,268.41487527359,261.98741680318074
2010-05-07,269.73699951171875,271.32145139920965,268.0797176599588,269.2088488825551,42232,268.54079186769746,262.29132200743715
2010-05-10,269.66412353515625,272.41414361623026,268.13433871851225,271.35784245105526,91492,268.6477758360269,262.5804514791124
2010-05-11,268.1162109375,271.7221844765893,267.73376458792995,270.62946791703195,700510,268.5971506075957,262.7975400853237
2010-05-12,267.69732666015625,270.97547605797234,265.89434004508274,268.0797729769601,731530,268.51145308879194,262.98968857845443
2010-05-13,268.8810119628906,269.8826683848233,267.0780259571386,269.3545178251674,49664,268.54664917203945,263.2207208680402
2010-05-14,266.3677978515625,270.228742004492,265.2022293859353,269.1724407194053,41646,268.33913952247025,263.34413565170775
2010-05-17,265.82147216796875,272.432415289825,262.99862146399454,265.16584677332014,59762,268.09936167918437,263.4412861033258
2010-05-18,264.4736633300781,269.5365892366629,261.15910065228013,269.5365892366629,104348,267.7540570745076,263.4817714847671
