Price,Close,High,Low,Open,Volume,EMA20,EMA50
Ticker,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS,,
Date,,,,,,,
2010-01-04,288.8285827636719,294.49021062838784,287.64459434374777,291.0458806795178,257058,288.8285827636719,288.8285827636719
2010-01-05,288.37646484375,294.9206957570542,287.81676658918354,294.9206957570542,158842,288.7855239141555,288.81085264916516
2010-01-06,296.1262512207031,298.580341474756,284.1572103436755,288.89316384940344,746184,289.48464080049337,289.0977310245196
2010-01-07,305.6411437988281,307.7507794661003,299.1830271636492,299.2260707632928,1752498,291.0233553717634,289.7464923097866
2010-01-08,297.9129943847656,306.5453403568821,296.10471605399675,305.72730154972595,567574,291.6795114682398,290.06674729311914
2010-01-11,296.4921875,301.378819272662,295.78178405759826,301.378819272662,356230,292.1378615665027,290.3187253404478
2010-01-12,294.2103271484375,302.6704724881355,293.2200876149883,296.4922165979663,506520,292.33523924097267,290.4713371760553
2010-01-13,299.8504333496094,301.7663470050071,289.1514684289603,292.18680500616864,371390,293.05097201322377,290.83914486913585
2010-01-14,298.6664123535156,303.1225029139925,296.9872912934867,301.37881644589925,217766,293.5857758551563,291.14609653518994
2010-01-15,296.6428527832031,300.6038366246168,295.3512293313169,299.22609968697554,256248,293.87692603877986,291.36165560373945
2010-01-18,292.6818542480469,297.934461277646,289.9694503908881,295.99702619708324,925432,293.76310967775765,291.4134280995946
2010-01-19,288.87158203125,294.8345662861328,286.9987123125421,291.90689180098514,413530,293.2972499018998,291.31374786162036
2010-01-20,283.57598876953125,292.25137869899555,282.82254162468655,289.75424484599756,369072,292.37141550834093,291.01030632859727
2010-01-21,273.4151306152344,286.26679870200957,271.2409032338302,280.712807791202,600892,290.5660550423308,290.32029943787717
2010-01-22,268.7438659667969,270.9826858262374,258.3893536798074,269.62647031459113,507480,288.4877513208514,289.47416479195243
2010-01-25,264.8689880371094,271.17640172039415,263.06070949200836,270.27227558692016,348632,286.2383452938283,288.50925589960565
2010-01-27,255.52618408203125,263.92173688674836,252.01726303956994,263.4911957172757,396276,283.3133775593714,287.21580210283804
2010-01-28,253.22276306152344,275.41715191278274,247.60418058226955,265.01957364824983,616366,280.44760475005256,285.8827417482767
2010-01-29,263.0821533203125,264.56752548059256,246.26952737981927,253.07207200636006,266356,278.7937522329345,284.98860102561144
2010-02-01,266.0098876953125,269.0882679924061,256.6240941633676,264.7828557045276,373326,277.57624132458955,284.2443377577566
2010-02-02,263.5126953125,273.3075060925424,262.71620472735907,266.93550257697905,550884,276.23685599010486,283.4313321716681
2010-02-03,262.3072204589844,267.79662064093276,261.4676598814096,264.78283230574544,400610,274.91022403476006,282.60293563391576
2010-02-04,255.5907440185547,267.7965741456055,252.81374856479215,263.66338994336195,931122,273.0702735570262,281.54363400194086
2010-02-05,243.34188842773438,253.50265010837435,238.95036298746996,246.7001044897663,890410,270.2389987828079,280.04552633236415
2010-02-08,247.86257934570312,251.0055249166452,242.02875121776444,247.02301873229018,277744,268.1079112173694,278.7834499799461
2010-02-09,246.7862091064453,250.14442504766907,243.25576618232878,246.26955443591515,1351896,266.0772729210909,277.528656220201
2010-02-10,248.6375274658203,250.53191913872377,246.78620567711562,248.85279805237082,350568,264.4163447824937,276.3956707788528
2010-02-11,246.70010375976562,251.86659807934186,245.70986427080996,251.0055156927458,173424,262.7290837327101,275.2311387388886
2010-02-15,249.3695068359375,250.14447586007987,246.7216675354515,249.71393459353928,209914,261.4567430758746,274.2169570956357
2010-02-16,250.553466796875,251.86661225470962,246.80775294873897,251.4360710371802,237878,260.41833581120795,273.2889770839196
2010-02-17,260.7357482910156,262.3933477292874,251.86660980735022,251.86660980735022,504806,260.44856557118965,272.79669360184494
2010-02-18,260.4989318847656,265.6008605598663,258.92747236769026,261.3384924290883,531438,260.4533623629588,272.3144284364693
2010-02-19,255.8490753173828,260.6926631967611,253.2227848451561,260.00380787628575,221208,260.0148588348087,271.6687283141522
2010-02-22,252.27565002441406,259.9392789984693,249.71392433807404,257.46366681753153,191016,259.27779132905687,270.90821544004484
2010-02-23,250.33822631835938,253.97630529998557,248.07788465427936,251.04860364589234,149196,258.4264041851809,270.10154919997876
2010-02-24,262.4148254394531,264.22310348728195,248.48683003936392,248.48683003936392,1058866,258.80625382844494,269.80010905250714
2010-02-25,259.53021240234375,264.73977633389967,257.89416120956537,264.73977633389967,549166,258.87520226405434,269.3973680074027
2010-02-26,268.2271728515625,277.4622870280047,250.14444209752457,250.14444209752457,553304,259.76586612953133,269.35147800129135
2010-03-02,272.81243896484375,279.20596520500163,270.8104118950594,271.24095309044105,631980,261.00839687575154,269.48720196064636
2010-03-03,279.8087158203125,281.53088049370257,272.66171665885514,273.39364190067545,543642,262.7989034419002,269.89196721004504
2010-03-04,279.8302917480469,283.64057131365007,278.1726921624065,280.411511926477,250718,264.42094042343797,270.2817054272216
2010-03-05,282.693359375,285.7932614676407,276.83800919412954,279.8517977856675,352614,266.1611707997772,270.76843695458547
2010-03-08,278.99072265625,285.75022535895306,277.7852124436126,285.75022535895306,209760,267.383032881346,271.09087953112135
2010-03-09,275.5893859863281,280.97115048596856,274.68526006164734,279.33509933370726,210456,268.16459031991576,271.2672915489726
2010-03-10,275.0296936035156,277.18239944931355,237.22818420693326,273.4797559058001,351248,268.81840968025864,271.41483672758216
2010-03-11,276.4288635253906,277.6989648216757,271.34848461838936,272.1880448839432,331228,269.54321480836643,271.611465229457
2010-03-12,275.8047180175781,278.5171489522635,272.3819360557041,278.5171489522635,351780,270.13954844733894,271.77590651526566
2010-03-15,267.9258117675781,276.40747955793006,264.9335448562972,276.40747955793006,426778,269.9287163825998,271.62492240751317
2010-03-16,265.6438903808594,269.5187607429789,264.78280807816617,269.5187607429789,376644,269.5206377157674,271.3903721319581
2010-03-17,273.13531494140625,275.11579371195523,266.9355118957938,268.6576764886699,809508,269.86489268963777,271.4588012617404
