Price,Close,High,Low,Open,Volume,EMA20,EMA50
Ticker,ETERNAL.NS,ETERNAL.NS,ETERNAL.NS,ETERNAL.NS,ETERNAL.NS,,
Date,,,,,,,
2021-07-23,126.0,138.89999389648438,115.0,116.0,694895200,126.0,126.0
2021-07-26,140.64999389648438,143.75,125.30000305175781,126.3499984741211,249723800,127.39523751395089,126.57450956456802
2021-07-27,132.89999389648438,147.8000030517578,127.75,141.6999969482422,240341900,127.91950002657312,126.82256777366278
2021-07-28,131.1999969482422,135.0,123.55000305175781,131.0,159793700,128.2319283048273,126.99423166286198
2021-07-29,141.5500030517578,144.0,132.1999969482422,134.9499969482422,117973000,129.50031637596354,127.56504622713241
2021-07-30,133.5,142.6999969482422,131.0,142.60000610351562,88312520,129.88123862587176,127.79778951234292
2021-08-02,139.6999969482422,140.75,135.14999389648438,135.75,66909730,130.8163584660975,128.2645427451233
2021-08-03,139.39999389648438,140.8000030517578,137.0,137.0,46610000,131.6338475547058,128.7012271040002
2021-08-04,138.39999389648438,141.0,135.25,139.8000030517578,41134410,132.27824244439898,129.08157089978388
2021-08-05,134.9499969482422,138.89999389648438,132.0,138.75,38437130,132.53269525428883,129.3117052546254
2021-08-06,131.35000610351562,136.1999969482422,130.10000610351562,135.5,31975350,132.42005819231042,129.39163862124855
2021-08-09,130.60000610351562,133.5500030517578,127.25,132.39999389648438,41358290,132.24671989813947,129.43902558133746
2021-08-10,125.19999694824219,131.4499969482422,122.0999984741211,131.0,43164000,131.57560342672068,129.27278916435333
2021-08-11,135.64999389648438,138.75,123.0,123.0,111702700,131.96364061431723,129.5228756244369
2021-08-12,135.4499969482422,137.39999389648438,132.0500030517578,135.64999389648438,51256670,132.2956745508815,129.7553117547822
2021-08-13,137.35000610351562,139.75,132.10000610351562,133.85000610351562,33674300,132.77703946065617,130.05314290571295
2021-08-16,134.9499969482422,136.89999389648438,132.25,136.39999389648438,20305360,132.98398779280723,130.24517639757684
2021-08-17,132.5,134.35000610351562,130.60000610351562,132.8000030517578,15815180,132.93789371730176,130.33360085257382
2021-08-18,134.9499969482422,136.8000030517578,133.3000030517578,134.5,22566920,133.12952259643893,130.51463599358044
2021-08-20,139.3000030517578,141.4499969482422,133.0,134.9499969482422,53789580,133.7171874017074,130.85916019194033
2021-08-23,127.25,137.8000030517578,124.75,137.8000030517578,68470860,133.10126479202097,130.71762449813875
2021-08-24,125.0,127.94999694824219,120.5,127.25,56713550,132.32971576420945,130.49340392958428
2021-08-25,124.25,128.5,123.0999984741211,126.0,51078810,131.56021902476093,130.24856455979665
