Price,Close,High,Low,Open,Volume,EMA20,EMA50
Ticker,HDFCAMC.NS,HDFCAMC.NS,HDFCAMC.NS,HDFCAMC.NS,HDFCAMC.NS,,
Date,,,,,,,
2018-08-06,1611.3465576171875,1636.2362026159528,1531.7531153827488,1531.7531153827488,19305566,1611.3465576171875,1611.3465576171875
2018-08-07,1570.529296875,1627.3628124691797,1557.2637600236699,1614.762772951193,3507846,1607.4591994512648,1609.7458807253372
2018-08-08,1579.136474609375,1596.2175729822075,1546.039030279782,1563.4750822301803,1678483,1604.7617970853705,1608.5455118580446
2018-08-09,1551.9844970703125,1585.6586254480494,1543.9541176718556,1579.0923621348518,674845,1599.735387560127,1606.327432846761
2018-08-10,1551.8511962890625,1568.7991747603073,1543.9539389609358,1543.9539389609358,587382,1595.1749883914542,1604.1911098444984
2018-08-13,1513.3853759765625,1545.0185965314763,1512.4536363646775,1543.0665143081103,726503,1587.3855014947978,1600.630100673207
2018-08-14,1533.2615966796875,1550.120864112264,1515.1157442696995,1515.1157442696995,570586,1582.2308438933587,1597.988198555814
2018-08-16,1517.600341796875,1544.8413258706976,1514.67210985714,1532.3299961872258,377188,1576.075557979408,1594.8357335848755
2018-08-17,1522.3475341796875,1536.6779334416738,1520.927828031383,1525.941155212899,320048,1570.9586033318155,1591.9930590983975
2018-08-20,1550.2982177734375,1557.9736418901016,1528.1592751868372,1530.4220094101352,793064,1568.990947564351,1590.3579672817325
2018-08-21,1564.8946533203125,1573.5018164886333,1550.1650018124353,1559.481963758074,606276,1568.600824303014,1589.3594059499123
2018-08-23,1627.9840087890625,1640.4954461453874,1571.638564133616,1579.4471100266921,2303105,1574.2563656826376,1590.87409625733
2018-08-24,1681.534423828125,1707.5775324609488,1617.1141920470382,1627.8065597371854,2700488,1584.4733236012553,1594.4294032208907
2018-08-27,1723.1944580078125,1748.0396922118387,1694.7999046317825,1694.7999046317825,1702446,1597.6848602114037,1599.4790132125347
2018-08-28,1653.805419921875,1735.1291141275412,1643.3792941707247,1732.0678694676863,1131489,1603.0296754219248,1601.6094605344697
2018-08-29,1614.984619140625,1654.8700496651543,1603.8929968238344,1654.8700496651543,1022262,1604.1682414903726,1602.1339765582404
2018-08-30,1630.5572509765625,1645.6862676916062,1614.94026785187,1614.9846776693962,427818,1606.6814804890573,1603.2486147707236
2018-08-31,1609.66064453125,1637.0790483149406,1606.0669155648004,1632.6868091929464,283317,1606.9652103978376,1603.5000669181952
2018-09-03,1545.6396484375,1606.066780217728,1542.1790408941497,1606.066780217728,1029800,1601.1246806873294,1601.2310308993444
