Price,Close,High,Low,Open,Volume,EMA20,EMA50
Ticker,IDEA.NS,IDEA.NS,IDEA.NS,IDEA.NS,IDEA.NS,,
Date,,,,,,,
2010-01-04,34.55012130737305,34.96567148464116,34.223615182279445,34.55012130737305,2469242,34.55012130737305,34.55012130737305
2010-01-05,35.7671012878418,36.034241008387255,34.609490824534774,34.728220006522484,7604355,34.66602416265578,34.59784601248947
2010-01-06,36.39042663574219,36.53883716647531,35.856143467112695,36.3607415250297,8530099,34.83025296961639,34.66814329183271
2010-01-07,36.24201583862305,36.68725122939626,36.06392393573837,36.50915932651159,5383142,34.96470657618845,34.729863783863706
2010-01-08,35.9451904296875,36.479469829854395,35.67805072960405,36.15296742117784,3661818,35.058085990807406,34.77752365232738
2010-01-11,36.83565902709961,37.191846562011065,36.21233177993141,36.21233177993141,7120803,35.227378660930476,34.85823484349492
2010-01-12,34.846946716308594,36.80597620226949,34.728217542744076,36.509155146211825,7337952,35.19114704715697,34.85779217184056
2010-01-13,35.11408996582031,35.32186320154827,34.16425658292485,34.84694651010054,4927321,35.183808277505854,34.86784306572211
2010-01-14,35.55931854248047,35.91550603096813,34.935991376553794,35.32186021682203,7192223,35.21957115988439,34.89495975108519
2010-01-15,35.2031364440918,35.97487424279226,35.05472590675824,35.618690455474734,4272665,35.21800594885652,34.90704511159525
2010-01-18,34.965675354003906,35.381229332964736,34.87663129197561,35.17345234348432,2977378,35.193974463632465,34.90934433678775
2010-01-19,34.31266784667969,35.143772074554875,34.134575961417234,34.84694725817436,3690760,35.11004050011315,34.88594525874429
2010-01-20,34.520442962646484,34.72821619151979,34.16425545581167,34.49076160933703,4682366,35.05388835368775,34.87161183536791
2010-01-21,34.342350006103516,34.728218896300895,33.244109802461125,34.43139782867442,5654590,34.98612279677497,34.850856469514405
2010-01-22,36.83565902709961,36.95438820540343,33.30347254504896,33.83775196956245,30740484,35.16226910442494,34.92869186392951
2010-01-25,36.95438766479492,37.399623015847716,36.27169771631564,36.80597713301311,13187118,35.33294706255541,35.00813091494384
2010-01-27,35.796783447265625,36.83566099617746,35.470277250549636,36.687250454291146,10012126,35.377121956337334,35.03905846523097
2010-01-28,35.32186508178711,36.4497904061631,34.223621113279776,36.09360286861688,10642261,35.371859396856365,35.05014892078219
2010-01-29,34.69853210449219,35.79677589178113,34.461073785310425,35.02503823229382,7429413,35.307732988059776,35.03636002602572
2010-02-01,36.21233367919922,36.50915851838037,34.43139966694275,34.60949156588536,6652081,35.393885434834964,35.08247663987566
2010-02-02,35.529640197753906,36.62788410794743,35.08440486053507,36.331059297899124,5698133,35.40681445987486,35.10001246567481
2010-02-03,35.70772933959961,36.12327953493613,34.75789978515798,35.20313133250991,4707661,35.435473019848644,35.12384449994637
2010-02-04,34.87663650512695,36.00456192744568,34.728222201481316,35.70773707586216,4505513,35.382250494637056,35.11415006877698
2010-02-05,33.57061004638672,34.72821664182985,33.24410764433482,33.68933921687118,5805887,35.20971330908941,35.053619087506775
2010-02-08,33.80807113647461,34.43139839327739,33.36283952773403,34.13457732078367,5211566,35.07622357836419,35.00477406981924
2010-02-09,34.461082458496094,34.550130289527566,33.83775515269129,33.89712162528153,3218049,35.017638709805325,34.983452830159514
2010-02-10,34.045528411865234,34.60948918277374,33.86743652518553,34.43139729609404,4506486,34.92505677666817,34.94667148042249
2010-02-11,34.66885757446289,34.90631594036352,34.07521165971133,34.07521165971133,2800561,34.90065685264862,34.93577681744368
2010-02-15,34.461082458496094,35.20313895377361,34.253309193699664,34.72822219588276,2830032,34.8587926246341,34.91716135238692
