Price,Close,High,Low,Open,Volume,EMA20,EMA50
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,,
Date,,,,,,,
2010-01-04,222.1785430908203,223.65825097115186,220.7073268692941,221.95742776985034,4069264,222.1785430908203,222.1785430908203
2010-01-05,222.9226531982422,223.7177755874956,221.1155285472091,222.80783932737577,6895528,222.24941072009858,222.20772387934667
2010-01-06,219.66976928710938,228.16537056851843,218.98944019111676,228.16537056851843,6817288,222.00373058362342,222.10819624827855
2010-01-07,214.7332000732422,219.96748798593583,214.15065978212064,219.96748798593583,10892600,221.31129910644427,221.81898071200263
2010-01-08,209.5584259033203,214.5843668500712,209.03117485470403,214.21868570341718,12649312,220.1919778490039,221.33817464107392
2010-01-11,211.72264099121094,213.00251415005854,210.3917556115622,210.4853091593563,7849656,219.3853743387379,220.9610948900989
2010-01-12,219.9971923828125,220.59673662511477,212.60286875974825,212.60286875974825,24859680,219.44364272388788,220.92329479177394
2010-01-13,228.2079315185547,229.18590476709704,210.63418575280903,210.63418575280903,19704040,220.27833689480855,221.20896682027515
2010-01-14,228.7394561767578,229.85773910672785,225.37607420419178,227.82526372247764,8413904,221.0841577788037,221.50428012837253
2010-01-15,227.55316162109375,228.97334497513108,225.71200787560483,228.73948176299308,5049504,221.7002533828313,221.7414911673028
2010-01-18,228.47581481933594,228.7607109984281,225.8693116772584,226.46459977279332,6140088,222.3455449482127,222.00558229091195
2010-01-19,224.1599578857422,228.59061008390938,223.49665352858037,227.91028088723107,5837512,222.51834618035838,222.09006760835626
2010-01-20,226.01388549804688,227.33202347057272,224.33857880794667,225.24425885201046,6091992,222.8512546868049,222.2439428197167
2010-01-21,223.25006103515625,226.6091870350452,221.10702784079226,224.76379791662075,6682792,222.88923624379075,222.28339843600844
2010-01-22,219.03207397460938,221.9574822946867,217.02509379924925,221.10707048512853,13486496,222.52188745624966,222.1558955159536
2010-01-25,216.20016479492188,218.5515447770124,214.13366026742244,216.8549776338075,6498712,221.9198186313613,221.92233744846217
