Price,Close,High,Low,Open,Volume,EMA20,EMA50
Ticker,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS,,
Date,,,,,,,
2010-01-04,1369.4385986328125,1400.5531766862935,1364.760443036112,1381.398997268023,534231,1369.4385986328125,1369.4385986328125
2010-01-05,1338.015380859375,1383.6501694622932,1332.851705404876,1380.0752592056447,1407407,1366.4459112258185,1368.206315582874
2010-01-06,1290.1739501953125,1344.1500506537361,1288.7175013322797,1339.9131280975346,1571353,1359.1819149371988,1365.1462228225776
2010-01-07,1282.8035888671875,1310.7846043243783,1279.8906910911437,1295.7789893253787,901165,1351.907788644817,1361.917099922366
2010-01-08,1265.017578125,1292.0718425029402,1254.3812013848365,1287.8349196128058,1294429,1343.6325305000723,1358.1171186754107
2010-01-11,1284.083740234375,1290.7038660647636,1269.298792546507,1272.8295263227144,478942,1337.9612171414344,1355.2138489326248
2010-01-12,1271.9462890625,1290.482633316707,1266.650190704155,1284.083181133707,767986,1331.6740811339168,1351.948454427914
2010-01-13,1261.1334228515625,1279.449096359293,1245.2893050133086,1268.4155581016241,612474,1324.955923202264,1348.387080640606
2010-01-14,1248.8641357421875,1273.932356795262,1245.4658274298386,1270.1809537005938,480493,1317.7090863013045,1344.4842200563542
2010-01-15,1247.6285400390625,1273.6236252224685,1242.9503836758454,1244.5833260644156,723389,1311.0347485620434,1340.6859580948917
2010-01-18,1261.663330078125,1277.2427115861967,1241.9353802361982,1243.7007468036982,916180,1306.3327087064322,1337.587031505999
2010-01-19,1252.7923583984375,1279.8906906102104,1247.3196576923842,1266.6504420866565,1009858,1301.2336277247184,1334.2617502076632
2010-01-20,1287.2611083984375,1293.1309736169585,1254.2929102455275,1261.1778827611406,1376326,1299.9029115984058,1332.418587783772
2010-01-21,1282.3179931640625,1306.3711098831957,1271.0637825890553,1275.4771985008229,1220211,1298.2281574618016,1330.4538585829991
2010-01-22,1274.9918212890625,1286.0695395579828,1240.170008976641,1271.0639237910057,650256,1296.015173064398,1328.278876728335
2010-01-25,1276.5367431640625,1301.9580692429563,1246.3490127261387,1246.3490127261387,851324,1294.1600845024611,1326.2497734513047
2010-01-27,1209.0994873046875,1277.2425870671063,1191.887164949602,1263.1196559039593,1180230,1286.0590752455303,1321.6556445828098
2010-01-28,1216.602294921875,1234.8737940209905,1202.2586929541544,1215.4547636646919,835498,1279.4441437861346,1317.5359053804202
2010-01-29,1226.4442138671875,1234.8738821093034,1175.7341036237256,1213.1598954391097,468949,1274.3965314129016,1313.9636821838228
2010-02-01,1234.82958984375,1253.1452658032754,1213.910041606611,1226.0469353147303,584347,1270.6282512634587,1310.8603844449965
2010-02-02,1212.4095458984375,1251.865441625144,1200.4491455033992,1251.865441625144,573306,1265.083612657266,1306.9995672470923
2010-02-03,1215.6754150390625,1222.4279629458508,1200.6256236536444,1204.8625460361739,594119,1260.3780700269608,1303.4182279448166
2010-02-04,1204.9949951171875,1222.5162351321956,1196.0357390643503,1209.275987098273,453970,1255.1034914641252,1299.5584933241255
2010-02-05,1199.4781494140625,1216.3815532206215,1165.3624242495289,1191.1809062864907,471270,1249.8058398403098,1295.6337739551036
2010-02-08,1202.2587890625,1225.8705664968843,1189.1508563246216,1213.7777410677518,555655,1245.277549290042,1291.9720098416683
