Price,Close,High,Low,Open,Volume,EMA20,EMA50
Ticker,MRF.NS,MRF.NS,MRF.NS,MRF.NS,MRF.NS,,
Date,,,,,,,
2010-01-04,5931.30517578125,6000.872625600898,5824.177582884089,5871.489370278207,18735,5931.30517578125,5931.30517578125
2010-01-05,5948.3466796875,6053.011840380239,5938.1117910892435,5986.389122724116,17947,5932.928176153274,5931.973470052083
2010-01-06,5880.564453125,5984.457353357482,5846.384200480728,5967.077515932437,10735,5927.941154912486,5929.95743017259
2010-01-07,6002.03076171875,6151.497181790461,5939.076936931898,6034.5693981698405,42206,5934.997307941654,5932.783835331263
2010-01-08,5954.3798828125,6077.53513696349,5938.110331758237,6028.195621866509,11155,5936.843267453163,5933.630739154057
2010-01-11,5946.4140625,6036.596000590827,5938.1102692952,5985.422042172511,9387,5937.754771743338,5934.132045951937
2010-01-12,5874.72216796875,5980.980357718109,5851.211019498106,5980.980357718109,7286,5931.751666621949,5931.802246815341
2010-01-13,5896.68896484375,5933.283081911654,5839.625073946572,5875.350293479645,7550,5928.412361690693,5930.425255365475
2010-01-14,6218.89208984375,6261.569436343234,5919.91069208241,5955.2978791850455,59564,5956.07709770527,5941.737680246976
2010-01-15,6185.3876953125,6323.846972867429,6160.186836688938,6274.797397923494,28721,5977.916202239292,5951.2925827985655
2010-01-18,6150.9677734375,6275.0405366887235,6107.0834829882415,6227.197410085296,14071,5994.397304258169,5959.122982431465
2010-01-19,6077.29736328125,6237.433422451201,6058.807233108559,6162.120758836466,10455,6002.292547974653,5963.757271876555
2010-01-20,5971.90576171875,6133.972853925446,5938.111630488328,6132.1864984116055,7790,5999.398568331233,5964.076820497818
2010-01-21,5892.00537109375,6025.009384345938,5880.177427991468,5971.904333682633,6884,5989.170644784806,5961.250489148639
2010-01-22,5841.7001953125,5937.144546957652,5802.933603385182,5899.488239048829,10727,5975.1258400731585,5956.562242331535
2010-01-25,5834.1708984375,5909.145501563548,5813.556383155903,5879.937715383435,4312,5961.701559917381,5951.762581786671
2010-01-27,5467.1181640625,5907.020819220452,5363.611379638098,5851.115765198692,16183,5914.598379359773,5932.7569183465075
2010-01-28,5564.2041015625,5715.070769536842,5489.180936328884,5558.652208181044,20888,5881.227495760033,5918.303866707919
2010-01-29,5603.0185546875,5637.826319317306,5504.484246142671,5508.443081299063,12640,5854.731406134078,5905.9397368247655
