Price,Close,High,Low,Open,Volume,EMA20,EMA50
Ticker,MUTHOOTFIN.NS,MUTHOOTFIN.NS,MUTHOOTFIN.NS,MUTHOOTFIN.NS,MUTHOOTFIN.NS,,
Date,,,,,,,
2011-05-06,123.85214233398438,140.04656741939976,113.64261347578773,138.4271335058953,60613615,123.85214233398438,123.85214233398438
2011-05-09,120.6484603881836,126.5629412448037,118.81778211438454,122.51433533572096,6129552,123.54702976771763,123.72650774787455
2011-05-10,124.16897583007812,124.90827781122172,119.3458501546299,120.40200812060007,5514954,123.60626272603768,123.74385943737273
2011-05-11,123.28887939453125,125.82365279033868,121.38778591792882,124.62667556922428,3348158,123.57603574208468,123.7260170827515
2011-05-12,119.02900695800781,122.7959639883917,116.2125856670466,122.51432615681342,2719399,123.1429853816964,123.54182060727136
2011-05-13,116.91669464111328,120.19078019658807,116.38861563256606,118.28969791457706,998959,122.55000531116468,123.2820117458534
2011-05-16,113.0089111328125,116.77587913475769,112.02316791889174,116.77587913475769,1530085,121.64132967513115,122.87914505514591
2011-05-17,112.58644104003906,114.06506657088333,109.69961555458383,113.36096122168034,875597,120.7789593289319,122.47550960357309
2011-05-18,112.058349609375,114.76915920090156,111.38945175052115,112.30479075180244,567443,119.94842506992649,122.06699352536926
2011-05-19,109.48839569091797,112.86810394460589,109.13634297165456,112.76248168254905,276867,118.95223179573519,121.57371517892018
2011-05-20,111.2486572265625,114.34671680117616,109.241952466413,109.84044637559336,731694,118.21855802724255,121.16881094549439
2011-05-23,111.2486572265625,112.58645323746472,109.48839366285107,111.14304571025828,343551,117.55475795098731,120.77978530945784
2011-05-24,113.50179290771484,114.24110575628363,110.2629143833984,111.24865768562597,568661,117.16876128019945,120.49437384272282
2011-05-25,109.45317840576172,115.33246258510843,108.96030679197229,113.07932753364578,601050,116.43394386358634,120.0613857863714
2011-05-26,110.9670181274414,112.93850470197174,109.84044516159891,110.61496541859013,512762,115.91328426966777,119.70474391739377
2011-05-27,121.73983001708984,123.21845578401673,111.8823535543685,111.8823535543685,4218741,116.46819338846987,119.78455121542108
2011-05-30,123.64088439941406,124.55621261606771,120.71884120813311,120.71884120813311,1223067,117.15130681808361,119.93577996773453
2011-05-31,123.53531646728516,124.55626736493913,120.43725634810106,123.92257666813268,604495,117.7593077370552,120.07693826183456
2011-06-01,127.33747100830078,127.97116159626589,121.77503167833393,123.7465290263754,1963698,118.67151376288811,120.36166503620579
