Price,Close,High,Low,Open,Volume,EMA20,EMA50
Ticker,NYKAA.NS,NYKAA.NS,NYKAA.NS,NYKAA.NS,NYKAA.NS,,
Date,,,,,,,
2021-11-10,367.6333312988281,374.6666564941406,333.3333435058594,336.3333435058594,205947786,367.6333312988281,367.6333312988281
2021-11-11,368.92498779296875,373.45001220703125,340.625,368.95001220703125,43138662,367.75634620303197,367.6839844946768
2021-11-12,393.04998779296875,401.6583251953125,363.3500061035156,374.6666564941406,34978218,370.16526444969264,368.6787297220608
2021-11-15,380.375,388.73333740234375,364.1666564941406,376.8333435058594,20735118,371.1376202163886,369.13740698786233
2021-11-16,372.7916564941406,385.0,371.3333435058594,378.0,9042750,371.2951474809364,369.2807108900694
2021-11-17,353.8416748046875,376.5,350.1666564941406,373.3333435058594,16172724,369.6329119879603,368.6752584945642
2021-11-18,354.2083435058594,363.0,348.3333435058594,351.6666564941406,11958912,368.16390546585546,368.1079284950072
2021-11-22,349.6166687011719,361.9916687011719,347.0,355.875,10147740,366.39750196445704,367.3827810521117
2021-11-23,355.8166809082031,357.8833312988281,342.95001220703125,345.0,5038836,365.3898047210042,366.9292084974486
2021-11-24,374.5833435058594,386.4666748046875,354.3416748046875,358.3333435058594,15051264,366.2653798433714,367.2293706546412
2021-11-25,399.5916748046875,405.1916809082031,374.5,374.57501220703125,15805686,369.4393126968301,368.4984806213096
2021-11-26,406.1833190917969,428.95001220703125,384.6666564941406,397.5,22331574,372.93874187730313,369.97631742407384
2021-11-29,414.3999938964844,422.8333435058594,391.6666564941406,403.5,10442538,376.88743254579657,371.7184223837762
2021-11-30,406.7416687011719,426.3333435058594,396.85833740234375,413.0,5682054,379.7306931320228,373.09188302367414
2021-12-01,415.51666259765625,422.5,410.0,412.5,4443384,383.13888070017833,374.7555998697127
2021-12-02,406.3666687011719,426.6666564941406,402.0333251953125,422.5,6473622,385.35105098598723,375.99524962780913
2021-12-03,387.45001220703125,410.8333435058594,380.3333435058594,406.57501220703125,5387400,385.5509520546581,376.44445600346495
2021-12-06,365.20001220703125,392.3333435058594,362.0333251953125,388.3333435058594,11374020,383.6127673072651,376.0034974232127
2021-12-07,358.98333740234375,376.2749938964844,354.1666564941406,371.3333435058594,12719388,381.2671073163202,375.33604016749234
2021-12-08,363.8083190917969,374.8333435058594,337.7583312988281,341.5,50120532,379.60436558065135,374.8839726743278
2021-12-09,360.57501220703125,376.51666259765625,358.5,362.3333435058594,19286688,377.7920462117351,374.322836969728
2021-12-10,352.4666748046875,363.2083435058594,350.0,360.5833435058594,11541822,375.38010607773055,373.46573257109895
2021-12-13,346.9583435058594,359.9666748046875,345.01666259765625,354.1666564941406,8443338,372.6732715470761,372.4262271175602
2021-12-14,335.9333190917969,346.9583435058594,330.0,346.6666564941406,12100380,369.1742284560972,370.99513268517734
2021-12-15,354.79998779296875,357.9666748046875,343.6666564941406,344.8333435058594,15262116,367.80525315484687,370.36002896391426
2021-12-16,360.9916687011719,362.5,338.6666564941406,356.48333740234375,14125398,367.15634034973493,369.992642286944
2021-12-17,349.79998779296875,361.6666564941406,344.20001220703125,358.9750061035156,7526790,365.50335439194765,369.2007734832587
2021-12-20,325.45001220703125,344.0666809082031,318.3416748046875,343.3333435058594,10340538,361.68875037433656,367.4850573547792
2021-12-21,327.2416687011719,342.9750061035156,325.3500061035156,331.3333435058594,8763210,358.4080759292733,365.9068852507162
2021-12-22,335.07501220703125,337.3333435058594,329.39166259765625,331.6583251953125,4920174,356.1858793842979,364.69779219017954
2021-12-23,353.5916748046875,355.6666564941406,335.8333435058594,338.29998779296875,8451402,355.93881228147785,364.26225817506224
2021-12-24,340.8083190917969,354.1666564941406,338.0,353.3333435058594,5864178,354.4978129300797,363.34249585807146
2021-12-27,351.14166259765625,354.0,331.6666564941406,340.0,5257260,354.178179565087,362.8640318086434
2021-12-28,358.875,360.9166564941406,351.6666564941406,351.6666564941406,3945216,354.6254957969835,362.7075991886966
2021-12-29,360.0,362.9166564941406,350.54998779296875,356.6666564941406,5609364,355.1373533401279,362.6014188283556
2021-12-30,351.2749938964844,363.3333435058594,349.0416564941406,356.6333312988281,3650364,354.76950958359043,362.15724530161555
2021-12-31,350.2583312988281,355.2916564941406,348.3833312988281,353.9916687011719,2986392,354.3398735564702,361.69062122307486
2022-01-03,347.7083435058594,355.8166809082031,346.5,350.8333435058594,3254466,353.7082992659358,361.14229660671344
2022-01-04,352.32501220703125,355.8333435058594,349.2583312988281,350.0,3788256,353.5765576412782,360.79652074790243
2022-01-05,340.5,353.7250061035156,339.1666564941406,353.5,5428572,352.33117119925174,360.0005787577886
2022-01-06,333.8416748046875,340.0,332.54998779296875,340.0,5545002,350.5702667807218,358.9747393870788
2022-01-07,334.2250061035156,339.3333435058594,332.7833251953125,335.0,3459012,349.01357528765453,358.0041616112528
2022-01-10,334.2416687011719,339.1666564941406,333.7583312988281,337.5,1894050,347.6067270413228,357.0722991441908
2022-01-11,330.3333435058594,336.6666564941406,326.7583312988281,334.2416687011719,3510468,345.96164289508823,356.02371264857
