Price,Close,High,Low,Open,Volume,EMA20,EMA50
Ticker,OBEROIRLTY.NS,OBEROIRLTY.NS,OBEROIRLTY.NS,OBEROIRLTY.NS,OBEROIRLTY.NS,,
Date,,,,,,,
2010-10-20,261.59747314453125,276.4851401829135,250.68603073952914,250.68603073952914,41372574,261.59747314453125,261.59747314453125
2010-10-21,276.2540588378906,281.9409568319728,255.0321876326303,260.48793890167605,8078620,262.9933384486607,262.1722412109375
2010-10-22,272.7864074707031,278.796955431922,266.77585950948423,277.40990590240995,2887285,263.9260116888552,262.58848302504595
2010-10-25,279.39801025390625,283.2817603031903,270.6596149724104,273.2949865562865,2361102,265.3995353617172,263.24768017127576
2010-10-26,263.724365234375,279.39800818829036,261.8287139211648,279.39800818829036,815185,265.2399953495894,263.266373703162
2010-10-27,268.3016052246094,270.9370049439214,258.9159091614266,265.38880689046226,692403,265.5315772424484,263.4638337628266
2010-10-28,267.3768615722656,271.8616599050942,263.5855878820521,270.75200918907416,305955,265.7073186071929,263.617285833785
2010-10-29,258.0374755859375,268.16294998529077,254.2924525722585,268.16294998529077,437923,264.97685736707336,263.3984697456341
2010-11-01,255.03213500976562,262.42973171165403,253.4601626423695,258.91588456609384,340688,264.0297409520917,263.0703781873647
2010-11-02,255.6794891357422,260.76533792506075,254.29243946592806,255.21713924580413,228621,263.2344788743441,262.7805394010266
2010-11-03,260.302978515625,262.4297766437221,255.6794797853297,256.1418296583592,237572,262.9552883639899,262.6833801506187
2010-11-04,263.4931945800781,269.82736504020374,257.99121999836785,262.1523687080189,288647,263.00651752742687,262.7151375792249
2010-11-08,267.79302978515625,272.2315769084992,261.78248193668236,263.53940566385586,265486,263.4623758376868,262.9142706069085
2010-11-09,267.3768615722656,269.5499110963774,251.88814455386316,262.61466467022706,206968,263.8351840028848,263.0892741741774
2010-11-10,265.1576843261719,270.28975725109643,263.63193520413483,267.2382590070224,140632,263.96113641462637,263.170388297785
2010-11-11,262.4760437011719,268.16294182350936,259.8406436289867,264.46414262594374,200646,263.819699013345,263.1431590979178
2010-11-12,259.100830078125,263.5393767138908,245.09160905608198,261.6899775790565,350592,263.3702829242764,262.9846363912593
2010-11-15,255.1246795654297,259.10090579911116,249.900131126592,249.900131126592,63023,262.584987366291,262.67640279024636
2010-11-16,249.900146484375,262.05994445292293,247.8657954286691,262.05994445292293,88376,261.376907282299,262.1753731311926
2010-11-18,245.9701385498047,253.96878590759877,240.93051352100167,251.51833716371004,104928,259.90959597444237,261.539873735844
2010-11-19,242.594970703125,247.81951833759175,237.46287046251103,243.19601986114415,100220,258.2605840438407,260.7969363620119
2010-11-22,255.5869903564453,258.63851628531245,243.38097129976248,243.38097129976248,135986,258.0059560736126,260.5926247539504
2010-11-23,250.77859497070312,254.19996727060573,245.55401856829826,254.19996727060573,77655,257.3176359685736,260.2077608408819
2010-11-24,242.64117431640625,252.90534572846354,237.69402571216855,249.6226733697338,161468,255.91987771598622,259.51887509482407
2010-11-25,243.05735778808594,250.59365581536616,199.73516478272728,236.16833271491595,1320525,254.69487581809096,258.8733253965206
2010-11-26,246.75613403320312,266.96082922295665,236.81561171660277,242.73368447512453,1179763,253.93880517191116,258.39814142148856
2010-11-29,250.82485961914062,254.292484406502,245.5078349451865,246.89488486013104,116967,253.64223892879016,258.10114997825923
2010-11-30,249.29905700683594,255.21712973354963,245.60025802519027,245.60025802519027,490785,253.22860255527073,257.75596986173286
2010-12-01,254.5236358642578,256.14186061543836,246.89486203726372,251.4258856966493,98396,253.35193906088855,257.6292116657535
2010-12-02,256.0955810546875,257.99120406192856,253.46018139078126,256.2342803591891,48849,253.6132382983932,257.56906928884894
2010-12-03,255.91064453125,258.9159185862692,252.62797185129804,252.812894861388,175573,253.83203889199862,257.50403302384507
2010-12-06,256.14178466796875,258.45353362706595,253.69133641524408,257.0664842516076,26200,254.05201468018623,257.45061151969304
2010-12-07,252.62802124023438,255.54082024986482,250.13132024935052,251.84202068980048,116304,253.91639625733367,257.2614903322633
2010-12-08,251.84194946289062,255.21709746295673,248.74420006353392,251.51829894900084,49474,253.71882989595815,257.0489593177781
2010-12-09,245.1378936767578,252.44301559021122,236.3532466140948,236.3532466140948,298546,252.90159787508193,256.5818587044048
2010-12-10,245.1378936767578,246.89481744537142,240.42191960972497,245.04541806375815,63568,252.16219747524156,256.13307576214413
2010-12-13,245.55397033691406,251.05594430849155,203.34143875179893,247.81949567099718,463195,251.53284250968653,255.71820888272336
2010-12-14,247.77328491210938,249.66890792518518,244.76801102041733,246.4324591187476,971836,251.17478940515537,255.40664323681693
2010-12-15,242.08628845214844,249.3451842907137,240.42184084184692,241.43901581240266,134851,250.3092178858214,254.88427638251622
2010-12-16,241.02297973632812,244.95295360115088,240.42193055386272,244.81425428513523,54018,249.42481425253632,254.3406961218814
2010-12-20,241.53160095214844,244.9067496048395,240.42194989556026,240.42194989556026,26611,248.67307965249938,253.83837866424483
2010-12-21,244.62928771972656,251.51831158592898,242.2713148364463,242.2713148364463,28707,248.28795661128294,253.47723784289118
2010-12-22,244.58306884765625,247.31094423039252,242.17884400145402,245.04541869424915,144817,247.93511015760419,253.1284469019016
2010-12-23,244.21316528320312,245.9700888453228,242.27129051682172,244.72173876553535,4309,247.58063921718502,252.77882801489383
2010-12-24,241.7627716064453,245.04544457613542,240.51442124487366,242.31756890527882,15428,247.02655658759076,252.34682580279784
2010-12-27,242.13265991210938,245.87768299427583,240.8380857738049,241.76278561825092,9504,246.56047118992586,251.94627027767282
2010-12-28,243.70458984375,245.23036689435324,240.5143928733859,242.2713166248379,76628,246.28848249029008,251.62306712340134
2010-12-29,241.90145874023438,244.58308235464574,238.57253401700794,242.36380861236034,460498,245.8706707045705,251.2418275789634
2010-12-30,242.31748962402344,245.04536440237598,239.03481772835545,244.12066491406515,224660,245.53227250642317,250.8918535415148
2010-12-31,236.3994598388672,244.4905817750079,234.87371106054226,243.84330895187293,24629,244.66248082379877,250.32352437670508
2011-01-03,238.4800262451172,244.1206995684585,236.81557821771486,239.497201470571,17565,244.07367562582908,249.85907346958402
2011-01-04,233.9027862548828,241.76274781339825,232.1921002760405,241.34662166062802,14316,243.10501949526278,249.23333671606633
2011-01-05,240.4219207763672,242.27132016695464,233.02432321401744,233.90278510258696,529011,242.84948628393937,248.88779099294086
2011-01-06,234.8274688720703,241.62400270566513,233.1630067114646,241.62400270566513,4848,242.08548462566614,248.33640581173026
2011-01-07,227.93844604492188,235.10486777655737,226.5976344783815,235.10486777655737,20863,240.7381476179762,247.53648582087504
2011-01-10,226.59762573242188,229.32548656108867,223.77728930557845,223.77728930557845,11673,239.3914312479234,246.7153540527004
2011-01-11,223.68482971191406,229.27926516679102,221.9741439016104,229.27926516679102,10576,237.89556443497014,245.81219623541466
2011-01-12,227.0137481689453,228.40079754675963,221.00320086508322,221.00320086508322,61808,236.85920098106303,245.07500219359235
2011-01-13,229.78787231445312,235.7984202824368,226.55142340861576,228.21588566786306,9693,236.18574110805255,244.47550690421434
2011-01-14,226.64390563964844,230.7125787390227,216.37973316605735,216.37973316605735,49750,235.27699487296647,243.77622842325098
2011-01-17,226.59762573242188,228.26208773103397,226.55138793333356,227.01373770462607,5193,234.45038828815268,243.102557729493
2011-01-18,226.5514373779297,227.93848699452926,226.5514373779297,226.5514373779297,9717,233.69810724908382,242.45349418629445
2011-01-19,230.250244140625,236.7231425702811,226.55144503796436,236.7231425702811,11474,233.3697393339925,241.9749353609741
2011-01-20,227.93844604492188,231.1748945688863,226.0890468883708,230.34267059235663,66509,232.85247330646197,241.42448479956028
2011-01-21,229.55667114257812,230.8512449129583,227.52233488492533,228.40079666552586,7027,232.5385873860921,240.95908034242373
