Price,Close,High,Low,Open,Volume,EMA20,EMA50
Ticker,PAGEIND.NS,PAGEIND.NS,PAGEIND.NS,PAGEIND.NS,PAGEIND.NS,,
Date,,,,,,,
2010-01-04,724.0099487304688,733.738877464033,721.409991400564,722.1228680647941,2621,724.0099487304688,724.0099487304688
2010-01-05,725.4777221679688,728.958358305374,717.803573185662,721.2842093230672,2597,724.1497366768973,724.0675084731158
2010-01-06,721.1581420898438,733.8225773568635,717.2162822872513,733.8225773568635,3768,723.8648229067018,723.9534156737719
2010-01-07,729.6712036132812,733.6969655330796,710.5068712129075,733.6969655330796,2818,724.4178115454235,724.177642651792
2010-01-08,729.4615478515625,733.7808864897405,721.2841979331345,729.629298600778,2329,724.8981673841034,724.3848546204105
2010-01-11,734.0324096679688,767.4127576306671,723.8002293281593,767.4127576306671,4490,725.7680952206621,724.7631901124716
2010-01-12,733.026123046875,737.9325131197338,722.2488143683776,737.9325131197338,3152,726.4593359660157,725.0872266981345
2010-01-13,725.393798828125,737.932360010625,723.8421685186503,737.932360010625,453,726.3578562385975,725.0992491346047
2010-01-14,721.7874755859375,754.8323802647787,721.284274475233,754.8323802647787,1088,725.9225818907252,724.9693756621081
2010-01-15,723.8002319335938,733.0259591077183,719.606719581719,733.0259591077183,798,725.7204533233793,724.9235268884408
2010-01-18,721.5774536132812,732.9838348215944,721.2839283046351,732.1870574534261,834,725.3258819224176,724.7923083286307
2010-01-19,713.5262451171875,732.9422310055651,708.7037051119876,725.1003308915983,2525,724.2021069885861,724.350501928182
2010-01-20,728.9583129882812,729.2518383930399,714.5326194605524,728.8324871346194,1802,724.6550789885571,724.5312004011271
2010-01-21,712.1002807617188,729.2098306370578,697.0875381305373,728.8324043093028,658,723.4593839193344,724.0437133564444
2010-01-22,704.5938720703125,708.7035343432286,665.0910091528762,700.3165102681609,2428,721.6626685051418,723.2809744824784
2010-01-25,705.8101196289062,712.939091292942,688.9941437653372,711.8907131070544,1054,720.1529019455003,722.5958429195932
2010-01-27,698.9326782226562,724.6389292323215,692.8940614313224,724.6389292323215,1672,718.1319282576104,721.667875676576
2010-01-28,702.91650390625,721.2421831799966,687.7360100149803,721.2002582955017,1747,716.6828402241475,720.9325277640143
2010-01-29,694.0264282226562,701.994103229442,681.9071649479497,685.6394018997238,1740,714.525086700196,719.8773866055296
2010-02-01,696.290771484375,701.9939378019272,655.8653038961853,670.9619477198826,2321,712.7884852510701,718.9524213066609
2010-02-02,691.132568359375,729.5870966510121,679.3488121642206,702.8324748069343,2890,710.7260169756706,717.8614466812771
2010-02-03,708.1566772460938,725.7296312280962,686.2749366560864,697.004593437927,750,710.4813179538062,717.4808674877405
2010-02-04,699.4122924804688,717.6189355902628,675.9675963534974,675.9675963534974,337,709.4271250515836,716.7722959188279
2010-02-05,713.9014892578125,713.9014892578125,677.6150067983559,700.3838279227533,3911,709.8532549759864,716.6597152654548
2010-02-08,714.5352783203125,718.1259078596106,703.7633897024184,716.7318781180351,1390,710.2991619611604,716.5764040127042
2010-02-09,706.720458984375,717.2811352991446,692.7803662488793,717.2811352991446,1475,709.9583331062283,716.1898963645344
2010-02-10,701.6934814453125,715.5491077122774,694.5122224242458,701.2710544440733,284,709.1712043766172,715.6214095049571
2010-02-11,692.1466064453125,707.9876181887969,685.1765612781794,707.9876181887969,1018,707.5498140974453,714.7008289928142
2010-02-15,690.2033081054688,709.6771774839858,686.148020261574,704.6080547876717,391,705.8977659077332,713.7401418991928
2010-02-16,673.8978881835938,697.0046270102806,668.6597824916895,697.0046270102806,1901,702.8501585054343,712.1777005770125
2010-02-17,688.5984497070312,690.8373341074231,675.9256358915562,683.4870917812854,914,701.4928529055863,711.2530240723073
2010-02-18,688.5558471679688,691.9352623687931,675.8830401648772,691.9352623687931,551,700.2607571210514,710.3629387035097
2010-02-19,678.7979125976562,691.9353811326201,667.645830207635,691.9353811326201,993,698.2166766902519,709.1250945424958
2010-02-22,688.2180786132812,688.556040854744,667.4346899082794,688.556040854744,2984,697.2644292543499,708.3052115648796
2010-02-23,679.6004028320312,685.0919524147478,668.4483225970504,685.0919524147478,2019,695.582141023653,707.1795327910424
2010-02-24,683.2757568359375,691.0061925164147,676.8548862697353,691.0061925164147,3887,694.4101044343467,706.2421298124109
2010-02-25,681.8816528320312,690.245728181727,669.1243778701687,690.245728181727,3299,693.2169185674595,705.286816989651
2010-02-26,684.2473754882812,684.3318402743394,672.5461149342318,684.0783943503615,2369,692.3626763694425,704.4617408523425
2010-03-02,689.358642578125,691.0483506050016,677.5729187775016,677.5729187775016,3025,692.0765779131266,703.8694624886477
2010-03-03,689.6543579101562,690.6681930939127,684.4162524322475,686.4439227997603,1583,691.8458902937961,703.3120074071383
2010-03-04,690.5836791992188,691.0905709721465,682.6842633714899,682.6842633714899,2130,691.7256797133601,702.8128572813375
2010-03-05,685.2610473632812,691.0483281063938,678.4599830896861,684.3739609912114,3044,691.1100004419241,702.1245510100412
2010-03-08,683.782470703125,691.090477429397,680.1073769323527,681.7970847011287,417,690.4121404668003,701.4052537431032
2010-03-09,682.0081787109375,687.7109414316545,673.3484279128116,677.6149289684885,2098,689.6117631567181,700.6445841339987
2010-03-10,690.3724975585938,692.7803109398092,675.9254625739067,675.9254625739067,331,689.6842140521348,700.241757209473
2010-03-11,686.3171997070312,691.0061811613713,680.9523968593359,690.2035594623346,433,689.3635460192678,699.6956961309459
