Price,Close,High,Low,Open,Volume,EMA20,EMA50
Ticker,PATANJALI.NS,PATANJALI.NS,PATANJALI.NS,PATANJALI.NS,PATANJALI.NS,,
Date,,,,,,,
2010-01-04,2856.551513671875,2972.3360644127943,2834.346072768341,2972.3360644127943,24155,2856.551513671875,2856.551513671875
2010-01-05,2828.001708984375,2921.581046154736,2818.4851583454347,2856.551360901197,34344,2853.8324846540177,2855.4319134880516
2010-01-06,2994.5419921875,3027.8499266205367,2816.8995977653994,2851.7937017601994,125109,2867.233390133397,2860.8872106919516
2010-01-07,2996.12744140625,3067.5015749945755,2962.819512398365,3045.29636643521,70170,2879.509014064145,2866.190749151336
2010-01-08,2972.3359375,3023.091029680073,2950.130729882258,3023.091029680073,17836,2888.3496734389882,2870.353305557166
2010-01-11,2950.130859375,3026.2632686491934,2937.4422019418594,2992.9553395917337,12987,2894.2335959090847,2873.481837079434
2010-01-12,3004.05810546875,3116.670551776618,2934.26990768731,2970.7501759077786,80571,2904.693073010005,2878.6024750554857
2010-01-13,2996.12744140625,3029.4353704141354,2902.5480992585594,2975.508402150295,19526,2913.4011080953615,2883.2112972653194
2010-01-14,3032.608154296875,3080.190917008972,2997.714050862101,3026.263708489359,27122,2924.754160114553,2889.069997541067
2010-01-15,3004.05810546875,3086.5347285374655,2992.955384835867,3045.2964170031078,15503,2932.3069168149527,2893.5793351068587
2010-01-18,3134.117919921875,3232.4557852574076,3007.2306290532933,3010.402735815252,112921,2951.5270123489454,2903.012220785879
2010-01-19,3061.157470703125,3195.975128467743,3037.3660919990534,3140.46198893747,35430,2961.968008382677,2909.213995292438
2010-01-20,3050.054931640625,3092.879415860228,3007.230447421022,3092.879415860228,18501,2970.357239169148,2914.737169266877
2010-01-21,3013.574951171875,3132.531854082111,2942.2008094257335,3045.2967145020375,32918,2974.4732117408366,2918.6131607141324
2010-01-22,2931.097900390625,3172.1837974357336,2885.101311650737,3172.1837974357336,20186,2970.3422297074835,2919.1027583485047
2010-01-25,2854.965576171875,2943.7866499846577,2802.624540608724,2943.7866499846577,14788,2959.3539769898066,2916.587574733735
2010-01-27,2767.730224609375,2864.481905737428,2728.0780829101086,2824.8295317004863,19428,2941.104095810718,2910.750031591603
2010-01-28,2764.55859375,2859.7241219341654,2696.3565544387766,2778.833422977625,37142,2924.2902384716017,2905.0170340291875
2010-01-29,2762.971923828125,2797.866021956007,2667.8064128772403,2728.078058037916,21305,2908.926589457937,2899.4466375507145
2010-02-01,2782.005126953125,2842.2767743005356,2747.1112598969203,2747.1112598969203,65822,2896.838831124145,2894.841088115515
2010-02-02,2793.107666015625,2921.581102101523,2766.144182801511,2820.0711492297396,42023,2886.959672542381,2890.851542150813
