Price,Close,High,Low,Open,Volume,EMA20,EMA50
Ticker,POLICYBZR.NS,POLICYBZR.NS,POLICYBZR.NS,POLICYBZR.NS,POLICYBZR.NS,,
Date,,,,,,,
2021-11-15,1202.300048828125,1248.9000244140625,1149.0,1150.0,36379065,1202.300048828125,1202.300048828125
2021-11-16,1341.9000244140625,1434.0,1210.0,1210.0,14456023,1215.5952845982144,1207.7745576746324
2021-11-17,1447.949951171875,1470.0,1342.0,1350.0,7068789,1237.7243004623724,1217.1932005568774
2021-11-18,1332.3499755859375,1464.800048828125,1302.550048828125,1440.0,5505748,1246.7362695217596,1221.7091525188014
2021-11-22,1237.550048828125,1332.0,1190.0999755859375,1332.0,3843305,1245.861391360461,1222.330364138775
2021-11-23,1214.8499755859375,1279.0,1210.0,1230.0,1275807,1242.9079231914588,1222.0370155680755
2021-11-24,1303.8499755859375,1328.4000244140625,1227.0,1228.800048828125,2005083,1248.7119281814093,1225.245366941325
2021-11-25,1260.6500244140625,1339.0,1245.199951171875,1315.0,1623994,1249.8488897273764,1226.6337848814323
2021-11-26,1273.449951171875,1308.0,1210.0,1254.0,1075975,1252.0966098649478,1228.4697129712536
2021-11-29,1229.800048828125,1300.0,1212.0,1251.0,523928,1249.9731278614408,1228.5218830048564
2021-11-30,1215.5999755859375,1288.0,1210.0,1244.25,553534,1246.699494311393,1228.0151415374478
2021-12-01,1214.25,1274.0,1206.300048828125,1247.0,601108,1243.6090662817364,1227.4753320653908
2021-12-02,1213.800048828125,1235.300048828125,1210.0,1224.0,278094,1240.7701122385354,1226.9390464482433
2021-12-03,1210.5999755859375,1224.75,1210.0,1215.0,323950,1237.8967658906688,1226.2982985712902
2021-12-06,1146.75,1217.8499755859375,1121.300048828125,1214.800048828125,1131799,1229.216121520129,1223.1787574508476
2021-12-07,1190.5999755859375,1198.0,1163.0,1163.0,1045117,1225.5383933359203,1221.9011581620275
2021-12-08,1187.6500244140625,1200.0,1170.0,1200.0,303568,1221.9299772481245,1220.5579764464212
2021-12-09,1131.25,1190.050048828125,1126.0999755859375,1190.0,427828,1213.2937889387792,1217.055702860287
2021-12-10,1134.75,1160.0,1120.8499755859375,1124.75,486075,1205.813428087467,1213.828028238315
2021-12-13,1153.0,1173.949951171875,1075.6500244140625,1101.0,2879984,1200.7835777934226,1211.4426153662243
2021-12-14,1125.6500244140625,1164.5999755859375,1100.0,1153.0,1668073,1193.6280012811028,1208.0782000347672
2021-12-15,1119.550048828125,1136.050048828125,1096.25,1127.0,918448,1186.572958190343,1204.606507830585
2021-12-16,1101.8499755859375,1144.0,1093.199951171875,1120.0,864396,1178.504102704209,1200.5768398994226
2021-12-17,1083.75,1111.550048828125,1068.0999755859375,1105.0,771974,1169.4799024466652,1195.9953951974844
2021-12-20,939.1500244140625,1074.550048828125,885.0,1058.0,2343482,1147.5437235864174,1185.9230277157817
2021-12-21,955.7000122070312,1005.0,950.0,985.0,1536838,1129.2728939312378,1176.894674166419
2021-12-22,980.1500244140625,994.25,968.0,985.0,791622,1115.070715881983,1169.1791977055423
2021-12-23,979.5999755859375,991.9500122070312,973.2999877929688,991.9500122070312,327842,1102.168740615693,1161.7447184067341
2021-12-24,983.0499877929688,990.0,975.0,985.0,433142,1090.8240974897192,1154.7370819120767
2021-12-27,977.3499755859375,981.9000244140625,955.0,975.0,366675,1080.0170382607876,1147.7807248012477
2021-12-28,969.7999877929688,998.0,931.0,987.0999755859375,545088,1069.5201763114715,1140.8010880558252
2021-12-29,961.4500122070312,980.0,952.3499755859375,961.0,466660,1059.2277797300962,1133.767712532343
2021-12-30,929.0499877929688,965.2000122070312,925.0,959.0,457837,1046.8298947837031,1125.7395664641324
2021-12-31,950.2999877929688,970.0,942.0,942.0,519564,1037.6365703083952,1118.8595829868318
2022-01-03,952.2999877929688,965.5499877929688,940.8499755859375,957.9000244140625,160883,1029.5092767354975,1112.3278341557
2022-01-04,965.0499877929688,972.0499877929688,955.0499877929688,958.0,359709,1023.370296836209,1106.5522323375537
2022-01-05,942.7000122070312,968.0,933.0,968.0,401811,1015.6874125858112,1100.1266550775333
2022-01-06,890.5999755859375,946.7999877929688,885.0,942.6500244140625,964964,1003.774323347728,1091.909922548451
2022-01-07,894.2000122070312,900.7000122070312,885.0999755859375,894.0,351858,993.3386746676616,1084.1565927311403
2022-01-10,899.75,906.7000122070312,885.3499755859375,900.0,280299,984.4254675564557,1076.9249616436446
2022-01-11,860.5499877929688,929.4000244140625,856.8499755859375,929.0,1060408,972.627802817076,1068.4396685514612
2022-01-12,871.7000122070312,892.0,860.3499755859375,862.0,679115,963.0156322827861,1060.7243879105033
2022-01-13,918.1500244140625,921.0,875.0,878.0,1119049,958.7427172476696,1055.133236400839
2022-01-14,941.4000244140625,951.0,898.3499755859375,900.0,896371,957.0910322158975,1050.6731104405733
2022-01-17,1022.5999755859375,1052.949951171875,942.1500244140625,945.0,1856173,963.3299792035203,1049.572203191372
