Price,Close,High,Low,Open,Volume,EMA20,EMA50
Ticker,VEDL.NS,VEDL.NS,VEDL.NS,VEDL.NS,VEDL.NS,,
Date,,,,,,,
2010-01-04,125.26950073242188,125.46624933624176,119.86642879891855,124.43709497687382,4639413,125.26950073242188,125.26950073242188
2010-01-05,126.19270324707031,127.58509282167844,125.37543773232368,126.43486317686904,5319410,125.35742478143601,125.30570475260417
2010-01-06,124.84573364257812,127.37321284507775,124.1041320851352,126.57107822909214,3891427,125.30869229202098,125.28766666985806
2010-01-07,123.4382095336914,126.14731575049072,122.98417000489539,125.25436764887543,4389842,125.13055107694197,125.21513893902798
2010-01-08,122.34850311279297,124.25546514352095,121.37988190633837,123.71062148830052,2936406,124.8655941279754,125.10272184780308
2010-01-11,125.29978942871094,125.920306474769,122.51500972515086,122.95391833452955,4480675,124.90694606137879,125.11044998823084
2010-01-12,122.45448303222656,125.75384502688256,122.13665899006162,125.0122432785513,2663995,124.67337815384047,125.00629442132872
2010-01-13,122.33335876464844,122.89334259193048,118.05025519914504,121.0317827228198,3709599,124.45051916439363,124.9014734151844
2010-01-14,126.828369140625,127.73644815595166,122.89336007420941,123.58955029097689,4341553,124.67698106689186,124.97703795343696
2010-01-15,124.52788543701172,128.34181868893842,123.98304178850347,128.03912572033244,3119900,124.66278148309375,124.95942412926343
2010-01-18,124.07386016845703,125.46624983071641,123.07497695284562,123.80143831305914,2716464,124.60669373884264,124.92469613080043
2010-01-19,122.93876647949219,126.8283735787423,122.59067135892752,126.2835298454635,3208273,124.4478435236664,124.84681653663148
2010-01-20,122.33335876464844,124.31600320854365,121.37987778168502,123.98303910279843,2834184,124.24646402280754,124.74824956518117
2010-01-21,117.39947509765625,122.49985369973126,116.41572290463566,121.83392544331925,4053370,123.5943698394598,124.46006233116059
2010-01-22,116.71843719482422,119.2156547560677,113.19206515280234,115.0233543360642,4828364,122.93951911139928,124.15646918855916
2010-01-25,113.08612823486328,116.35520956392574,112.32939559040818,116.35520956392574,3336071,122.00110093268157,123.72233817076716
2010-01-27,107.33495330810547,113.41908522992975,105.38257951464223,112.02669540522761,7835300,120.60432496843623,123.07969562713336
2010-01-28,106.97171783447266,111.60292686063208,106.04850776310064,108.99976488505638,4429098,119.30598143186828,122.44801022349962
2010-01-29,104.95880889892578,107.12306223132546,100.53948878200568,105.88201895200801,4541312,117.93958404777851,121.76215919116339
2010-02-01,110.55863189697266,111.39103774972193,102.37078893127673,104.0356006367753,5005227,117.23663622389223,121.3228051796265
2010-02-02,107.9403076171875,112.73799271327564,107.31978152836555,111.99639129216952,4542180,116.35127159468226,120.7980013536485
2010-02-03,111.92076873779297,112.45048163918888,108.96951114430148,109.57489731732537,2948416,115.92931894164518,120.44987458439927
2010-02-04,109.10569763183594,111.95101003876647,108.69706022652852,111.39102613056427,2923901,115.27945024547287,120.00500489998502
2010-02-05,104.59557342529297,106.4420027664431,102.91563079407881,104.42909595281526,3514796,114.26193816736051,119.40071346960494
2010-02-08,109.68083953857422,110.90674281930133,105.35232294605704,105.94257814786475,4053658,113.82564305985704,119.01954194289786
2010-02-09,109.0905532836914,110.14997876360023,106.6690093296141,110.14997876360023,3790368,113.37468212879365,118.63016983861526
2010-02-10,111.30020904541016,112.26882100938552,109.57485541706498,109.57485541706498,4448290,113.17711326370951,118.34272039574448
2010-02-11,115.84060668945312,116.68814333516688,111.08832322699415,111.9964021634546,5700761,113.43077930425653,118.24459828961541
2010-02-15,114.96279907226562,117.44488539676789,114.03958910626882,116.53680638596813,3901715,113.57668594882882,118.1159002810919
2010-02-16,114.1152572631836,116.08276169875572,112.61692326726511,115.32602922353567,3198086,113.62797845495786,117.9590123196053
2010-02-17,117.1724624633789,117.58109986197202,114.4330852635194,115.29576216333658,3451297,113.96554836052177,117.92816722720428
2010-02-18,116.20381927490234,117.71728399387074,114.44820389588122,117.70215304166328,2279344,114.17871701903421,117.86054573887873
2010-02-19,113.07099914550781,115.35633749870715,111.14890542976804,113.50990781738568,4115962,114.07322007869836,117.67272038227595
2010-02-22,110.75535583496094,115.43196591473136,110.04402550823009,114.72063558800052,2736539,113.75723300786622,117.40145118434204
2010-02-23,114.34228515625,114.97794232823689,110.07431184428957,110.16512529026349,3649303,113.81295226009324,117.28148388912274
2010-02-24,114.1152572631836,115.59845106712349,111.46669359991341,112.90448530283152,3359061,113.8417432127685,117.15731813908592
2010-02-25,115.28063201904297,116.21898217566353,112.8136858925338,114.90226576536189,4174831,113.9787802419375,117.0837226049666
2010-02-26,121.18310546875,122.57549466895172,114.11522434173772,115.02330305002741,7091910,114.66490645401488,117.24448271727182
2010-03-02,126.41972351074219,127.1159229196689,122.59065909274413,122.59065909274413,5013243,115.78441284036987,117.60429608172164
2010-03-03,129.28018188476562,130.00664323579784,126.55594489030187,126.8283667422568,4464826,117.06972417793136,118.06217395635082
2010-03-04,138.22476196289062,139.2387853997061,128.70507228618965,129.55260902407437,11531310,119.08448968126082,118.85286368209748
2010-03-05,135.40972900390625,139.844180052003,134.28976109638526,139.23879399117183,9000792,120.63927437865563,119.50215251824685
2010-03-08,134.65298461914062,137.93720555862356,133.33626820481388,137.4226237570613,4126368,121.97391344917801,120.09630279671327
2010-03-09,133.2757568359375,136.15134103998872,131.42933647383015,134.54707144218608,5738194,123.05027948601226,120.61314413158482
2010-03-10,132.65518188476562,135.00105218620757,131.52008335180983,134.69835924408602,3358839,123.96503209541733,121.08538090621936
2010-03-11,129.82504272460938,133.79032338742988,129.29532990576774,132.56442027309404,3581131,124.52312834581657,121.42811274223466
2010-03-12,131.06607055664062,132.54926442676472,129.3255857859693,130.1277203980046,3962253,125.1462656992284,121.80607187221136
2010-03-15,132.41305541992188,134.51676620957312,129.8401649417827,130.76337488895564,4415527,125.838340910723,122.22203201133728
2010-03-16,133.2152099609375,134.0022137195743,132.3828040933802,132.57955272367474,2847877,126.5408998678863,122.65313702896866
2010-03-17,134.68328857421875,136.34810050103252,133.7903403003075,133.7903403003075,3634202,127.31636545896558,123.124907677802
2010-03-18,132.38278198242188,135.30376750957797,131.8833403927974,135.15242101348224,3196139,127.79888131834237,123.48796157210082
2010-03-19,136.8778076171875,137.5437268173675,132.38281375677056,132.82171315831798,5475336,128.66354096585144,124.01305357386892
2010-03-22,134.7740936279297,140.4344579087469,121.07723178253089,121.07723178253089,6889154,129.24549836223983,124.4350551446164
2010-03-23,135.86373901367188,137.42260593393343,134.8951178319304,135.90914111087247,4151276,129.87580699570955,124.88323882575584
2010-03-25,136.8021240234375,138.1188313661375,135.96971815795848,136.51456193856134,4562165,130.53545623644555,125.35064608841003
2010-03-26,137.84637451171875,138.87552874596074,136.36318082965326,137.42260620790807,2344992,131.23173416742395,125.84067465402998
2010-03-29,137.90695190429688,139.8441855273134,136.8475262563627,139.23879944277957,2243330,131.86746918998327,126.31386199717771
2010-03-30,138.4366455078125,139.23878011096028,136.93831146163555,138.63339411047784,8294588,132.49310502977653,126.78926527210457
2010-03-31,142.4019012451172,143.46132656433383,138.90579214922883,139.23875623990233,6909674,133.43679990742802,127.40152550634036
2010-04-01,142.3867645263672,144.50561521645434,140.78249555599783,142.56838214729441,3677751,134.28917749018413,127.98918193849828
2010-04-05,143.50674438476562,145.29263112822537,141.96300833153688,145.29263112822537,2080899,135.16704100395378,128.59771379913622
2010-04-06,143.83970642089844,146.8060939016607,143.24945142053798,146.8060939016607,2022485,135.9930091389009,129.19543899998965
2010-04-07,145.29263305664062,146.47313385273446,143.62782163619994,144.3845541000366,3418997,136.87868760725706,129.82670151201518
