Date,Signal,Crossover,Next_Crossover_Date,Duration_Days,Trade_Type
2007-09-17,0,,2007-09-18,1.0,
2007-09-18,1,1.0,2008-01-23,127.0,Buy
2008-01-23,-1,-2.0,2008-05-06,104.0,Sell
2008-05-06,1,2.0,2008-05-27,21.0,Buy
2008-05-27,-1,-2.0,2009-03-27,304.0,Sell
2009-03-27,1,2.0,2010-02-01,311.0,Buy
2010-02-01,-1,-2.0,2010-03-10,37.0,Sell
2010-03-10,1,2.0,2010-05-17,68.0,Buy
2010-05-17,-1,-2.0,2010-06-17,31.0,Sell
2010-06-17,1,2.0,2010-12-09,175.0,Buy
2010-12-09,-1,-2.0,2010-12-24,15.0,Sell
2010-12-24,1,2.0,2011-01-12,19.0,Buy
2011-01-12,-1,-2.0,2011-04-01,79.0,Sell
2011-04-01,1,2.0,2011-05-10,39.0,Buy
2011-05-10,-1,-2.0,2011-07-07,58.0,Sell
2011-07-07,1,2.0,2011-08-02,26.0,Buy
2011-08-02,-1,-2.0,2011-10-31,90.0,Sell
2011-10-31,1,2.0,2011-11-18,18.0,Buy
2011-11-18,-1,-2.0,2012-01-24,67.0,Sell
2012-01-24,1,2.0,2012-04-27,94.0,Buy
2012-04-27,-1,-2.0,2012-06-28,62.0,Sell
2012-06-28,1,2.0,2013-02-26,243.0,Buy
2013-02-26,-1,-2.0,2013-05-02,65.0,Sell
2013-05-02,1,2.0,2013-06-14,43.0,Buy
2013-06-14,-1,-2.0,2013-07-16,32.0,Sell
2013-07-16,1,2.0,2013-08-01,16.0,Buy
2013-08-01,-1,-2.0,2013-09-18,48.0,Sell
2013-09-18,1,2.0,2014-02-04,139.0,Buy
2014-02-04,-1,-2.0,2014-03-03,27.0,Sell
2014-03-03,1,2.0,2015-03-27,389.0,Buy
2015-03-27,-1,-2.0,2015-04-09,13.0,Sell
2015-04-09,1,2.0,2015-04-21,12.0,Buy
2015-04-21,-1,-2.0,2015-07-06,76.0,Sell
2015-07-06,1,2.0,2015-08-24,49.0,Buy
2015-08-24,-1,-2.0,2015-10-20,57.0,Sell
2015-10-20,1,2.0,2015-11-05,16.0,Buy
2015-11-05,-1,-2.0,2016-03-22,138.0,Sell
2016-03-22,1,2.0,2016-11-03,226.0,Buy
2016-11-03,-1,-2.0,2017-01-17,75.0,Sell
2017-01-17,1,2.0,2018-02-23,402.0,Buy
2018-02-23,-1,-2.0,2018-04-19,55.0,Sell
2018-04-19,1,2.0,2018-09-28,162.0,Buy
2018-09-28,-1,-2.0,2018-12-17,80.0,Sell
2018-12-17,1,2.0,2019-07-19,214.0,Buy
2019-07-19,-1,-2.0,2019-09-27,70.0,Sell
2019-09-27,1,2.0,2020-02-25,151.0,Buy
2020-02-25,-1,-2.0,2020-06-08,104.0,Sell
2020-06-08,1,2.0,2021-04-22,318.0,Buy
2021-04-22,-1,-2.0,2021-04-28,6.0,Sell
2021-04-28,1,2.0,2021-11-30,216.0,Buy
2021-11-30,-1,-2.0,2022-01-07,38.0,Sell
2022-01-07,1,2.0,2022-02-08,32.0,Buy
2022-02-08,-1,-2.0,2022-04-01,52.0,Sell
2022-04-01,1,2.0,2022-05-02,31.0,Buy
2022-05-02,-1,-2.0,2022-07-25,84.0,Sell
2022-07-25,1,2.0,2022-10-13,80.0,Buy
2022-10-13,-1,-2.0,2022-10-18,5.0,Sell
2022-10-18,1,2.0,2023-01-11,85.0,Buy
2023-01-11,-1,-2.0,2023-04-25,104.0,Sell
2023-04-25,1,2.0,2023-10-26,184.0,Buy
2023-10-26,-1,-2.0,2023-11-20,25.0,Sell
2023-11-20,1,2.0,2024-10-24,339.0,Buy
2024-10-24,-1,-2.0,2025-04-21,179.0,Sell
2025-04-21,1,2.0,2025-08-07,108.0,Buy
2025-08-07,-1,-2.0,2025-09-12,36.0,Sell
